Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, R, U, L2, T6, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-2, Run: 071, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 1, 0, 2, 47, 1, 6, 0, 0, 0, 0, 614, 524, 534, 614, 118, 54, 61, 49110, 48604, 48124, 47622, 505, 3098, 480, 500, 47575, 0, 0, 0, 667, 333, 215, 161, 2431, 334
INVAR-2, Run: 072, E, 100, 0, 0, 0, 0, 0, 0, 100, 1, 1, 2, 1, 45, 1, 6, 0, 0, 0, 0, 99, 109, 119, 99, 102, 62, 90, 49512, 49012, 48519, 48047, 499, 1943, 491, 471, 48002, 0, 0, 0, 625, 354, 252, 190, 1318, 271
INVAR-2, Run: 073, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 769, 679, 689, 769, 131, 62, 143, 49230, 48689, 48191, 47734, 540, 3536, 498, 457, 47685, 0, 0, 0, 777, 436, 305, 243, 2759, 341
INVAR-2, Run: 074, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 2, 0, 48, 1, 6, 0, 0, 0, 0, 201, 211, 221, 201, 135, 96, 232, 48992, 48507, 48029, 47509, 485, 2383, 476, 520, 47461, 0, 0, 0, 861, 563, 428, 332, 1522, 298
INVAR-2, Run: 075, E, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 207, 217, 127, 207, 110, 50, 107, 49910, 49375, 48864, 48403, 535, 2426, 511, 461, 48353, 0, 0, 0, 670, 367, 257, 207, 1756, 303
INVAR-2, Run: 076, E, 0, 100, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 92, 2, 12, 92, 101, 42, 45, 49798, 49315, 48797, 48317, 483, 1602, 517, 480, 48269, 0, 0, 0, 521, 288, 187, 145, 1081, 233
INVAR-2, Run: 077, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 2, 48, 1, 6, 0, 0, 0, 0, 90, 0, 10, 90, 79, 25, 66, 49191, 48662, 48185, 47716, 529, 1471, 477, 467, 47668, 0, 0, 0, 470, 270, 191, 166, 1001, 200
INVAR-2, Run: 078, E, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 1, 1, 48, 1, 6, 0, 0, 0, 0, 309, 319, 229, 309, 79, 24, 42, 49444, 48930, 48412, 47925, 514, 2416, 517, 486, 47877, 0, 0, 0, 551, 245, 166, 142, 1865, 306
INVAR-2, Run: 079, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 196, 106, 116, 196, 96, 42, 67, 49302, 48810, 48347, 47829, 492, 2055, 463, 518, 47779, 0, 0, 0, 604, 305, 209, 167, 1451, 299
INVAR-2, Run: 080, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 1, 1, 48, 1, 6, 0, 0, 0, 0, 202, 112, 122, 202, 78, 37, 100, 49548, 49046, 48519, 48061, 502, 2047, 526, 457, 48013, 0, 0, 0, 577, 315, 237, 200, 1470, 262
