Input Number, Run_Number, Result@ 100, SetABab, ANuAPX1, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 1, 16, 9, 0, 0, 9, 0, 0, 10, 4, 11, 5, 2, 1, 18, 0, 0, 33, 6, 34, 7, 1, 1, 0, 9, 0, 0, 12, 6, 13, 6, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 17, 1, 0, 2, 5, 1, 4, 2, 1, 1, 1, 0, 0, 3, 0, 19, 0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 6, 3, 0, 6, 0, 0, 6, 0, 0, 23, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 1, 15, 7, 2, 0, 9, 0, 0, 2, 0, 5, 1, 3, 1, 18, 0, 0, 9, 0, 10, 1, 1, 1, 0, 8, 1, 0, 16, 3, 18, 4, 1, 0, 0, 47, 0, 1, 1, 2, 2, 1, 17, 1, 0, 15, 9, 3, 17, 4, 1, 1, 1, 0, 0, 1, 0, 51, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 2, 9, 2, 0, 8, 0, 0, 30, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 013, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 1, 14, 9, 0, 0, 6, 2, 0, 20, 5, 23, 6, 3, 1, 16, 1, 0, 6, 0, 8, 1, 1, 1, 0, 8, 0, 0, 43, 8, 44, 9, 1, 0, 0, 1, 1, 0, 0, 2, 2, 1, 16, 1, 0, 3, 0, 1, 5, 2, 1, 1, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 17, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 34, 1, 0, 4, 0, 0, 27, 4, 28, 1, 5, 1
INVAR-1, Run: 014, F, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 1, 14, 7, 0, 0, 7, 0, 0, 2, 2, 3, 3, 0, 1, 14, 0, 0, 18, 5, 19, 6, 1, 1, 0, 7, 0, 0, 12, 5, 13, 6, 1, 0, 0, 1, 0, 11, 3, 12, 4, 1, 14, 0, 0, 17, 0, 3, 18, 4, 1, 1, 1, 0, 0, 4, 0, 2, 0, 18, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 4, 2, 1, 3, 0, 0, 23, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 17, 8, 1, 0, 7, 2, 0, 10, 1, 14, 2, 1, 1, 16, 2, 0, 8, 0, 11, 1, 1, 1, 0, 9, 0, 0, 7, 2, 8, 3, 1, 0, 0, 1, 0, 9, 2, 10, 3, 1, 18, 0, 0, 30, 0, 6, 31, 7, 1, 1, 1, 0, 0, 1, 1, 3, 0, 27, 2, 0, 0, 0, 0, 0, 0, 0, 1, 12, 7, 16, 8, 1, 7, 0, 0, 25, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 16, 9, 0, 0, 9, 0, 0, 13, 4, 14, 5, 2, 1, 17, 1, 0, 26, 6, 28, 7, 1, 1, 0, 7, 0, 2, 2, 0, 5, 3, 1, 0, 0, 3, 0, 11, 1, 12, 2, 1, 17, 1, 0, 2, 2, 0, 4, 1, 1, 1, 1, 0, 0, 3, 0, 6, 0, 25, 2, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 4, 2, 1, 6, 0, 0, 27, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 14, 8, 1, 0, 8, 0, 1, 11, 0, 14, 2, 2, 1, 18, 0, 0, 4, 2, 5, 3, 1, 1, 2, 9, 0, 0, 1, 0, 2, 1, 1, 0, 0, 1, 0, 14, 4, 15, 5, 1, 14, 3, 1, 2, 1, 0, 7, 2, 1, 1, 1, 0, 0, 3, 1, 6, 0, 32, 4, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 7, 1, 1, 5, 0, 0, 18, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 2, 0, 9, 0, 0, 62, 13, 65, 14, 2, 0, 16, 2, 0, 13, 1, 16, 2, 1, 1, 0, 8, 1, 0, 4, 1, 6, 2, 1, 0, 0, 5, 0, 4, 0, 5, 1, 1, 17, 1, 0, 15, 1, 6, 17, 7, 1, 1, 1, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 019, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 1, 18, 9, 0, 0, 8, 0, 0, 2, 0, 3, 1, 0, 1, 17, 1, 0, 1, 0, 3, 1, 1, 1, 0, 9, 0, 0, 18, 2, 19, 3, 1, 0, 0, 3, 0, 49, 5, 49, 5, 0, 18, 0, 0, 5, 2, 2, 6, 3, 1, 1, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 19, 0, 0, 5, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 32, 3, 1, 4, 0, 0, 4, 2, 8, 1, 4, 1
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 3, 0, 9, 0, 0, 22, 3, 26, 4, 2, 1, 15, 3, 0, 9, 1, 13, 2, 1, 1, 0, 9, 0, 0, 3, 1, 4, 2, 1, 0, 0, 9, 0, 4, 1, 5, 2, 1, 18, 0, 0, 12, 4, 3, 13, 4, 1, 1, 1, 1, 1, 4, 1, 12, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 5, 30, 15, 32, 15, 0, 4, 0, 0, 32, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 021, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 17, 8, 1, 0, 7, 2, 0, 6, 1, 10, 2, 1, 1, 17, 1, 0, 13, 5, 15, 6, 1, 1, 0, 9, 0, 0, 2, 2, 3, 3, 1, 0, 0, 2, 0, 6, 2, 7, 3, 1, 17, 1, 0, 6, 0, 0, 8, 1, 1, 1, 1, 0, 0, 1, 0, 4, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 1, 6, 3, 8, 4, 1, 8, 0, 0, 27, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0, 1, 17, 8, 1, 0, 7, 2, 0, 10, 1, 14, 2, 1, 1, 14, 2, 0, 0, 0, 3, 1, 1, 1, 0, 8, 0, 0, 9, 6, 10, 7, 1, 0, 0, 10, 0, 6, 6, 7, 7, 1, 14, 2, 0, 3, 2, 2, 6, 3, 1, 1, 1, 0, 0, 3, 0, 12, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 0, 7, 1, 1, 5, 0, 0, 25, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 18, 9, 0, 0, 8, 0, 1, 19, 5, 21, 7, 0, 1, 18, 0, 0, 26, 6, 27, 7, 1, 1, 0, 8, 1, 0, 0, 0, 2, 1, 1, 0, 0, 2, 0, 7, 5, 8, 6, 1, 16, 2, 0, 12, 1, 4, 15, 5, 1, 1, 1, 1, 1, 5, 0, 3, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 2, 10, 3, 1, 4, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 024, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 16, 9, 0, 0, 8, 1, 0, 6, 0, 8, 1, 2, 1, 14, 2, 2, 5, 1, 10, 4, 1, 1, 0, 9, 0, 0, 21, 4, 22, 5, 1, 0, 0, 3, 0, 2, 0, 3, 1, 1, 17, 1, 0, 8, 1, 0, 10, 1, 1, 1, 1, 0, 0, 3, 1, 6, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 2, 1, 5, 0, 0, 26, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 025, P, 0, 0, 1, 0, 18, 18, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 026, F, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 16, 7, 0, 0, 7, 0, 0, 0, 0, 1, 1, 2, 1, 16, 1, 1, 12, 3, 15, 5, 1, 1, 0, 9, 0, 0, 1, 0, 2, 1, 1, 0, 0, 20, 0, 26, 5, 27, 6, 1, 17, 0, 1, 8, 1, 0, 10, 2, 1, 1, 1, 0, 0, 4, 0, 23, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 7, 1, 1, 5, 0, 0, 20, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 18, 18, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 2, 0, 8, 1, 0, 17, 5, 20, 5, 1, 0, 16, 2, 0, 11, 6, 14, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
