Input Number, Run_Number, Result@ 100, H, CO, M, X1, PO, CE, Y, D, PE, A, B
1, Run: 059, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 060, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0
1, Run: 061, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 062, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 063, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0
1, Run: 064, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0
1, Run: 065, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 066, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 067, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 068, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
1, Run: 069, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 070, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 071, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
1, Run: 072, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
1, Run: 073, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 074, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
1, Run: 075, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 076, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 077, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 078, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
1, Run: 079, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 080, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 081, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 082, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 083, F, 0, 6, 0, 0, 0, 4, 0, 0, 1, 88, 0
1, Run: 084, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 085, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 086, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
1, Run: 087, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0
1, Run: 088, F, 0, 6, 0, 0, 0, 4, 0, 0, 1, 88, 0
1, Run: 089, F, 0, 6, 0, 0, 0, 4, 0, 0, 1, 88, 0
1, Run: 090, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
1, Run: 091, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 092, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 093, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
1, Run: 094, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0
1, Run: 095, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0
1, Run: 096, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0
