Input Number, Run_Number, Result@ 100, U, X1, X2
INVAR-10, Run: 090, F, 0, 0, 212
INVAR-10, Run: 091, F, 0, 222, 0
INVAR-10, Run: 092, F, 0, 208, 0
INVAR-10, Run: 093, F, 0, 204, 0
INVAR-10, Run: 094, F, 0, 186, 0
INVAR-10, Run: 095, F, 0, 234, 0
INVAR-10, Run: 096, F, 0, 206, 0
INVAR-10, Run: 097, F, 0, 232, 0
INVAR-10, Run: 098, F, 0, 230, 0
INVAR-10, Run: 099, F, 0, 0, 190
INVAR-10, Run: 100, F, 0, 0, 202
INVAR-11, Run: 001, F, 0, 199, 0
INVAR-11, Run: 002, F, 0, 155, 0
INVAR-11, Run: 003, F, 0, 259, 0
INVAR-11, Run: 004, F, 0, 227, 0
INVAR-11, Run: 005, F, 0, 215, 0
INVAR-11, Run: 006, F, 0, 219, 0
INVAR-11, Run: 007, F, 0, 193, 0
INVAR-11, Run: 008, F, 0, 261, 0
INVAR-11, Run: 009, F, 0, 195, 0
INVAR-11, Run: 010, F, 0, 235, 0
INVAR-11, Run: 011, F, 0, 187, 0
INVAR-11, Run: 012, F, 0, 231, 0
INVAR-11, Run: 013, F, 0, 251, 0
INVAR-11, Run: 014, F, 0, 215, 0
INVAR-11, Run: 015, F, 0, 247, 0
INVAR-11, Run: 016, F, 0, 211, 0
INVAR-11, Run: 017, F, 0, 197, 0
INVAR-11, Run: 018, F, 0, 207, 0
INVAR-11, Run: 019, F, 0, 237, 0
INVAR-11, Run: 020, F, 0, 229, 0
INVAR-11, Run: 021, F, 0, 217, 0
INVAR-11, Run: 022, F, 0, 215, 0
INVAR-11, Run: 023, F, 0, 207, 0
INVAR-11, Run: 024, F, 0, 229, 0
INVAR-11, Run: 025, F, 0, 227, 0
INVAR-11, Run: 026, F, 0, 235, 0
INVAR-11, Run: 027, F, 0, 209, 0
INVAR-11, Run: 028, F, 0, 217, 0
INVAR-11, Run: 029, F, 0, 213, 0
INVAR-11, Run: 030, F, 0, 209, 0
INVAR-11, Run: 031, F, 0, 201, 0
INVAR-11, Run: 032, F, 0, 211, 0
INVAR-11, Run: 033, F, 0, 217, 0
INVAR-11, Run: 034, F, 0, 161, 0
INVAR-11, Run: 035, F, 0, 179, 0
INVAR-11, Run: 036, F, 0, 259, 0
INVAR-11, Run: 037, F, 0, 231, 0
INVAR-11, Run: 038, F, 0, 205, 0
INVAR-11, Run: 039, F, 0, 209, 0
INVAR-11, Run: 040, F, 0, 193, 0
INVAR-11, Run: 041, F, 0, 225, 0
INVAR-11, Run: 042, F, 0, 207, 0
INVAR-11, Run: 043, F, 0, 183, 0
INVAR-11, Run: 044, F, 0, 189, 0
INVAR-11, Run: 045, F, 0, 209, 0
INVAR-11, Run: 046, F, 0, 235, 0
INVAR-11, Run: 047, F, 0, 251, 0
INVAR-11, Run: 048, F, 0, 227, 0
INVAR-11, Run: 049, F, 0, 217, 0
INVAR-11, Run: 050, F, 0, 253, 0
INVAR-11, Run: 051, F, 0, 241, 0
INVAR-11, Run: 052, F, 0, 215, 0
INVAR-11, Run: 053, F, 0, 217, 0
INVAR-11, Run: 054, F, 0, 241, 0
INVAR-11, Run: 055, F, 0, 215, 0
INVAR-11, Run: 056, F, 0, 189, 0
INVAR-11, Run: 057, F, 0, 231, 0
INVAR-11, Run: 058, F, 0, 181, 0
INVAR-11, Run: 059, F, 0, 199, 0
INVAR-11, Run: 060, F, 0, 223, 0
INVAR-11, Run: 061, F, 0, 201, 0
INVAR-11, Run: 062, F, 0, 237, 0
INVAR-11, Run: 063, F, 0, 223, 0
INVAR-11, Run: 064, F, 0, 215, 0
INVAR-11, Run: 065, F, 0, 195, 0
INVAR-11, Run: 066, F, 0, 239, 0
INVAR-11, Run: 067, F, 0, 165, 0
INVAR-11, Run: 068, F, 0, 213, 0
INVAR-11, Run: 069, F, 0, 209, 0
INVAR-11, Run: 070, F, 0, 229, 0
INVAR-11, Run: 071, F, 0, 191, 0
INVAR-11, Run: 072, F, 0, 267, 0
INVAR-11, Run: 073, F, 0, 193, 0
INVAR-11, Run: 074, F, 0, 239, 0
INVAR-11, Run: 075, F, 0, 203, 0
INVAR-11, Run: 076, F, 0, 237, 0
INVAR-11, Run: 077, F, 0, 205, 0
INVAR-11, Run: 078, F, 0, 219, 0
INVAR-11, Run: 079, F, 0, 187, 0
INVAR-11, Run: 080, F, 0, 217, 0
INVAR-11, Run: 081, F, 0, 201, 0
INVAR-11, Run: 082, F, 0, 211, 0
INVAR-11, Run: 083, F, 0, 213, 0
INVAR-11, Run: 084, F, 1, 178, 0
INVAR-11, Run: 085, F, 0, 215, 0
INVAR-11, Run: 086, F, 0, 239, 0
INVAR-11, Run: 087, F, 0, 225, 0
INVAR-11, Run: 088, F, 0, 235, 0
INVAR-11, Run: 089, F, 0, 205, 0
INVAR-11, Run: 090, F, 0, 217, 0
INVAR-11, Run: 091, F, 0, 215, 0
INVAR-11, Run: 092, F, 0, 209, 0
INVAR-11, Run: 093, F, 0, 193, 0
INVAR-11, Run: 094, F, 0, 199, 0
INVAR-11, Run: 095, F, 0, 247, 0
INVAR-11, Run: 096, F, 0, 199, 0
INVAR-11, Run: 097, F, 0, 201, 0
INVAR-11, Run: 098, F, 0, 215, 0
INVAR-11, Run: 099, F, 0, 207, 0
INVAR-11, Run: 100, F, 0, 225, 0
INVAR-12, Run: 001, F, 0, 205, 0
INVAR-12, Run: 002, F, 0, 205, 0
INVAR-12, Run: 003, F, 0, 257, 0
INVAR-12, Run: 004, F, 0, 185, 0
INVAR-12, Run: 005, F, 0, 159, 0
INVAR-12, Run: 006, F, 0, 197, 0
INVAR-12, Run: 007, F, 0, 221, 0
INVAR-12, Run: 008, F, 0, 203, 0
INVAR-12, Run: 009, F, 0, 205, 0
INVAR-12, Run: 010, F, 0, 195, 0
INVAR-12, Run: 011, F, 0, 213, 0
INVAR-12, Run: 012, F, 0, 241, 0
INVAR-12, Run: 013, F, 0, 221, 0
INVAR-12, Run: 014, F, 0, 213, 0
INVAR-12, Run: 015, F, 0, 225, 0
INVAR-12, Run: 016, F, 0, 213, 0
INVAR-12, Run: 017, F, 0, 215, 0
INVAR-12, Run: 018, F, 0, 183, 0
INVAR-12, Run: 019, F, 0, 187, 0
INVAR-12, Run: 020, F, 0, 173, 0
INVAR-12, Run: 021, F, 0, 225, 0
INVAR-12, Run: 022, F, 0, 197, 0
INVAR-12, Run: 023, F, 0, 211, 0
INVAR-12, Run: 024, F, 0, 213, 0
INVAR-12, Run: 025, F, 1, 216, 0
INVAR-12, Run: 026, F, 0, 195, 0
INVAR-12, Run: 027, F, 0, 179, 0
INVAR-12, Run: 028, F, 0, 233, 0
INVAR-12, Run: 029, F, 0, 211, 0
INVAR-12, Run: 030, F, 0, 249, 0
INVAR-12, Run: 031, F, 0, 179, 0
INVAR-12, Run: 032, F, 0, 209, 0
INVAR-12, Run: 033, F, 0, 165, 0
INVAR-12, Run: 034, F, 0, 237, 0
INVAR-12, Run: 035, F, 0, 221, 0
INVAR-12, Run: 036, F, 0, 213, 0
INVAR-12, Run: 037, F, 0, 163, 0
INVAR-12, Run: 038, F, 0, 205, 0
INVAR-12, Run: 039, F, 0, 201, 0
INVAR-12, Run: 040, F, 0, 213, 0
INVAR-12, Run: 041, F, 0, 221, 0
INVAR-12, Run: 042, F, 0, 211, 0
INVAR-12, Run: 043, F, 0, 251, 0
INVAR-12, Run: 044, F, 0, 197, 0
INVAR-12, Run: 045, F, 0, 219, 0
INVAR-12, Run: 046, F, 0, 201, 0
INVAR-12, Run: 047, F, 0, 219, 0
INVAR-12, Run: 048, F, 0, 217, 0
INVAR-12, Run: 049, F, 0, 203, 0
INVAR-12, Run: 050, F, 0, 185, 0
INVAR-12, Run: 051, F, 0, 203, 0
INVAR-12, Run: 052, F, 0, 199, 0
INVAR-12, Run: 053, F, 0, 229, 0
INVAR-12, Run: 054, F, 0, 207, 0
INVAR-12, Run: 055, F, 0, 211, 0
INVAR-12, Run: 056, F, 0, 217, 0
INVAR-12, Run: 057, F, 0, 211, 0
INVAR-12, Run: 058, F, 0, 215, 0
INVAR-12, Run: 059, F, 0, 189, 0
INVAR-12, Run: 060, F, 0, 225, 0
INVAR-12, Run: 061, F, 0, 203, 0
INVAR-12, Run: 062, F, 0, 213, 0
INVAR-12, Run: 063, F, 0, 207, 0
INVAR-12, Run: 064, F, 0, 205, 0
INVAR-12, Run: 065, F, 0, 245, 0
INVAR-12, Run: 066, F, 0, 195, 0
INVAR-12, Run: 067, F, 0, 201, 0
INVAR-12, Run: 068, F, 0, 225, 0
INVAR-12, Run: 069, F, 0, 199, 0
INVAR-12, Run: 070, F, 0, 203, 0
INVAR-12, Run: 071, F, 0, 221, 0
INVAR-12, Run: 072, F, 0, 215, 0
INVAR-12, Run: 073, F, 0, 191, 0
INVAR-12, Run: 074, F, 0, 249, 0
INVAR-12, Run: 075, F, 0, 205, 0
INVAR-12, Run: 076, F, 0, 199, 0
INVAR-12, Run: 077, F, 0, 203, 0
INVAR-12, Run: 078, F, 0, 193, 0
INVAR-12, Run: 079, F, 0, 185, 0
INVAR-12, Run: 080, F, 0, 217, 0
INVAR-12, Run: 081, F, 0, 185, 0
INVAR-12, Run: 082, F, 0, 179, 0
INVAR-12, Run: 083, F, 0, 191, 0
INVAR-12, Run: 084, F, 0, 177, 0
INVAR-12, Run: 085, F, 0, 209, 0
INVAR-12, Run: 086, F, 0, 205, 0
INVAR-12, Run: 087, F, 0, 207, 0
INVAR-12, Run: 088, F, 0, 223, 0
INVAR-12, Run: 089, F, 0, 221, 0
INVAR-12, Run: 090, F, 0, 197, 0
INVAR-12, Run: 091, F, 0, 219, 0
INVAR-12, Run: 092, F, 0, 201, 0
INVAR-12, Run: 093, F, 0, 207, 0
INVAR-12, Run: 094, F, 0, 213, 0
INVAR-12, Run: 095, F, 0, 217, 0
INVAR-12, Run: 096, F, 0, 201, 0
INVAR-12, Run: 097, F, 1, 196, 0
INVAR-12, Run: 098, F, 0, 241, 0
INVAR-12, Run: 099, F, 0, 155, 0
INVAR-12, Run: 100, F, 0, 183, 0
INVAR-13, Run: 001, F, 0, 171, 0
INVAR-13, Run: 002, F, 0, 189, 0
INVAR-13, Run: 003, F, 0, 211, 0
INVAR-13, Run: 004, F, 0, 209, 0
INVAR-13, Run: 005, F, 0, 177, 0
INVAR-13, Run: 006, F, 0, 181, 0
INVAR-13, Run: 007, F, 0, 241, 0
INVAR-13, Run: 008, F, 0, 185, 0
INVAR-13, Run: 009, F, 0, 199, 0
INVAR-13, Run: 010, F, 0, 207, 0
INVAR-13, Run: 011, F, 0, 213, 0
INVAR-13, Run: 012, F, 0, 187, 0
INVAR-13, Run: 013, F, 0, 215, 0
INVAR-13, Run: 014, F, 0, 207, 0
INVAR-13, Run: 015, F, 0, 207, 0
INVAR-13, Run: 016, F, 0, 189, 0
INVAR-13, Run: 017, F, 0, 183, 0
INVAR-13, Run: 018, F, 0, 223, 0
INVAR-13, Run: 019, F, 0, 175, 0
