Input Number, Run_Number, Result@ 100, X2, X1, Y
INVAR-11, Run: 016, F, 158, 0, 0
INVAR-11, Run: 017, F, 178, 0, 0
INVAR-11, Run: 018, F, 152, 0, 0
INVAR-11, Run: 019, F, 182, 0, 0
INVAR-11, Run: 020, F, 150, 0, 0
INVAR-11, Run: 021, F, 130, 0, 0
INVAR-11, Run: 022, F, 158, 0, 0
INVAR-11, Run: 023, F, 156, 0, 0
INVAR-11, Run: 024, F, 142, 0, 0
INVAR-11, Run: 025, F, 134, 0, 0
INVAR-11, Run: 026, F, 166, 0, 0
INVAR-11, Run: 027, F, 136, 0, 0
INVAR-11, Run: 028, F, 192, 0, 0
INVAR-11, Run: 029, F, 176, 0, 0
INVAR-11, Run: 030, F, 132, 0, 0
INVAR-11, Run: 031, F, 146, 0, 0
INVAR-11, Run: 032, F, 144, 0, 0
INVAR-11, Run: 033, F, 184, 0, 0
INVAR-11, Run: 034, F, 144, 0, 0
INVAR-11, Run: 035, F, 148, 0, 0
INVAR-11, Run: 036, F, 182, 0, 0
INVAR-11, Run: 037, F, 188, 0, 0
INVAR-11, Run: 038, F, 158, 0, 0
INVAR-11, Run: 039, F, 138, 0, 0
INVAR-11, Run: 040, F, 136, 0, 0
INVAR-11, Run: 041, F, 172, 0, 0
INVAR-11, Run: 042, F, 158, 0, 0
INVAR-11, Run: 043, F, 162, 0, 0
INVAR-11, Run: 044, F, 152, 0, 0
INVAR-11, Run: 045, F, 144, 0, 0
INVAR-11, Run: 046, F, 184, 0, 0
INVAR-11, Run: 047, F, 170, 0, 0
INVAR-11, Run: 048, F, 160, 0, 0
INVAR-11, Run: 049, F, 172, 0, 0
INVAR-11, Run: 050, F, 144, 0, 0
INVAR-11, Run: 051, F, 174, 0, 0
INVAR-11, Run: 052, F, 160, 0, 0
INVAR-11, Run: 053, F, 162, 0, 0
INVAR-11, Run: 054, F, 150, 0, 0
INVAR-11, Run: 055, F, 170, 0, 0
INVAR-11, Run: 056, F, 148, 0, 0
INVAR-11, Run: 057, F, 152, 0, 0
INVAR-11, Run: 058, F, 170, 0, 0
INVAR-11, Run: 059, F, 202, 0, 0
INVAR-11, Run: 060, F, 138, 0, 0
INVAR-11, Run: 061, F, 172, 0, 0
INVAR-11, Run: 062, F, 176, 0, 0
INVAR-11, Run: 063, F, 170, 0, 0
INVAR-11, Run: 064, F, 154, 0, 0
INVAR-11, Run: 065, F, 144, 0, 0
INVAR-11, Run: 066, F, 132, 0, 0
INVAR-11, Run: 067, F, 138, 0, 0
INVAR-11, Run: 068, F, 132, 0, 0
INVAR-11, Run: 069, F, 164, 0, 0
INVAR-11, Run: 070, F, 136, 0, 0
INVAR-11, Run: 071, F, 152, 0, 0
INVAR-11, Run: 072, F, 152, 0, 0
INVAR-11, Run: 073, F, 130, 0, 0
INVAR-11, Run: 074, F, 122, 0, 0
INVAR-11, Run: 075, F, 158, 0, 0
INVAR-11, Run: 076, F, 142, 0, 0
INVAR-11, Run: 077, F, 164, 0, 0
INVAR-11, Run: 078, F, 142, 0, 0
INVAR-11, Run: 079, F, 128, 0, 0
INVAR-11, Run: 080, F, 128, 0, 0
INVAR-11, Run: 081, F, 156, 0, 0
INVAR-11, Run: 082, F, 136, 0, 0
INVAR-11, Run: 083, F, 162, 0, 0
INVAR-11, Run: 084, F, 132, 0, 0
INVAR-11, Run: 085, F, 138, 0, 0
INVAR-11, Run: 086, F, 168, 0, 0
INVAR-11, Run: 087, F, 150, 0, 0
INVAR-11, Run: 088, F, 136, 0, 0
INVAR-11, Run: 089, F, 166, 0, 0
INVAR-11, Run: 090, F, 160, 0, 0
INVAR-11, Run: 091, F, 164, 0, 0
INVAR-11, Run: 092, F, 164, 0, 0
INVAR-11, Run: 093, F, 178, 0, 0
INVAR-11, Run: 094, F, 142, 0, 0
INVAR-11, Run: 095, F, 120, 0, 0
INVAR-11, Run: 096, F, 158, 0, 0
INVAR-11, Run: 097, F, 196, 0, 0
INVAR-11, Run: 098, F, 164, 0, 0
INVAR-11, Run: 099, F, 166, 0, 0
INVAR-11, Run: 100, F, 164, 0, 0
INVAR-12, Run: 001, F, 146, 0, 0
INVAR-12, Run: 002, F, 134, 0, 0
INVAR-12, Run: 003, F, 124, 0, 0
INVAR-12, Run: 004, F, 150, 0, 0
INVAR-12, Run: 005, F, 156, 0, 0
INVAR-12, Run: 006, F, 160, 0, 0
INVAR-12, Run: 007, F, 156, 0, 0
INVAR-12, Run: 008, F, 118, 0, 0
INVAR-12, Run: 009, F, 120, 0, 0
INVAR-12, Run: 010, F, 164, 0, 0
INVAR-12, Run: 011, F, 138, 0, 0
INVAR-12, Run: 012, F, 132, 0, 0
INVAR-12, Run: 013, F, 128, 0, 0
INVAR-12, Run: 014, F, 130, 0, 0
INVAR-12, Run: 015, F, 156, 0, 0
INVAR-12, Run: 016, F, 160, 0, 0
INVAR-12, Run: 017, F, 110, 0, 0
INVAR-12, Run: 018, F, 100, 0, 0
INVAR-12, Run: 019, F, 148, 0, 0
INVAR-12, Run: 020, F, 134, 0, 0
INVAR-12, Run: 021, F, 140, 0, 0
INVAR-12, Run: 022, F, 150, 0, 0
INVAR-12, Run: 023, F, 100, 0, 0
INVAR-12, Run: 024, F, 128, 0, 0
INVAR-12, Run: 025, F, 114, 0, 0
INVAR-12, Run: 026, F, 138, 0, 0
INVAR-12, Run: 027, F, 92, 0, 0
INVAR-12, Run: 028, F, 124, 0, 0
