Input Number, Run_Number, Result@ 100, X2, Y, Reaction2
INVAR-21, Run: 038, E, 0, 0, 0
INVAR-21, Run: 039, E, 0, 0, 0
INVAR-21, Run: 040, E, 0, 0, 0
INVAR-21, Run: 041, E, 0, 0, 0
INVAR-21, Run: 042, E, 0, 0, 0
INVAR-21, Run: 043, E, 0, 0, 0
INVAR-21, Run: 044, E, 0, 0, 0
INVAR-21, Run: 045, E, 0, 0, 0
INVAR-21, Run: 046, E, 0, 0, 0
INVAR-21, Run: 047, E, 0, 0, 0
INVAR-21, Run: 048, E, 0, 0, 0
INVAR-21, Run: 049, E, 0, 0, 0
INVAR-21, Run: 050, E, 0, 0, 0
INVAR-21, Run: 051, E, 0, 0, 0
INVAR-21, Run: 052, E, 0, 0, 0
INVAR-21, Run: 053, E, 0, 0, 0
INVAR-21, Run: 054, E, 0, 0, 0
INVAR-21, Run: 055, E, 0, 0, 0
INVAR-21, Run: 056, E, 0, 0, 0
INVAR-21, Run: 057, E, 0, 0, 0
INVAR-21, Run: 058, E, 0, 0, 0
INVAR-21, Run: 059, E, 0, 0, 0
INVAR-21, Run: 060, E, 0, 0, 0
INVAR-21, Run: 061, E, 0, 0, 0
INVAR-21, Run: 062, E, 0, 0, 0
INVAR-21, Run: 063, E, 0, 0, 0
INVAR-21, Run: 064, E, 0, 0, 0
INVAR-21, Run: 065, E, 0, 0, 0
INVAR-21, Run: 066, E, 0, 0, 0
INVAR-21, Run: 067, E, 0, 0, 0
INVAR-21, Run: 068, E, 0, 0, 0
INVAR-21, Run: 069, E, 0, 0, 0
INVAR-21, Run: 070, E, 0, 0, 0
INVAR-21, Run: 071, E, 0, 0, 0
INVAR-21, Run: 072, E, 0, 0, 0
INVAR-21, Run: 073, E, 0, 0, 0
INVAR-21, Run: 074, E, 0, 0, 0
INVAR-21, Run: 075, E, 0, 0, 0
INVAR-21, Run: 076, E, 0, 0, 0
INVAR-21, Run: 077, E, 0, 0, 0
INVAR-21, Run: 078, E, 0, 0, 0
INVAR-21, Run: 079, E, 0, 0, 0
INVAR-21, Run: 080, E, 0, 0, 0
INVAR-21, Run: 081, E, 0, 0, 0
INVAR-21, Run: 082, E, 0, 0, 0
INVAR-21, Run: 083, E, 0, 0, 0
INVAR-21, Run: 084, E, 0, 0, 0
INVAR-21, Run: 085, E, 0, 0, 0
INVAR-21, Run: 086, E, 0, 0, 0
INVAR-21, Run: 087, E, 0, 0, 0
INVAR-21, Run: 088, E, 0, 0, 0
INVAR-21, Run: 089, E, 0, 0, 0
INVAR-21, Run: 090, E, 0, 0, 0
INVAR-21, Run: 091, E, 0, 0, 0
INVAR-21, Run: 092, E, 0, 0, 0
INVAR-21, Run: 093, E, 0, 0, 0
INVAR-21, Run: 094, E, 0, 0, 0
INVAR-21, Run: 095, E, 0, 0, 0
INVAR-21, Run: 096, E, 0, 0, 0
INVAR-21, Run: 097, E, 0, 0, 0
INVAR-21, Run: 098, E, 0, 0, 0
INVAR-21, Run: 099, E, 0, 0, 0
INVAR-21, Run: 100, E, 0, 0, 0
INVAR-22, Run: 001, E, 21, 0, 0
INVAR-22, Run: 002, E, 21, 0, 0
INVAR-22, Run: 003, E, 21, 0, 0
INVAR-22, Run: 004, E, 21, 0, 0
INVAR-22, Run: 005, E, 21, 0, 0
INVAR-22, Run: 006, E, 21, 0, 0
INVAR-22, Run: 007, E, 21, 0, 0
INVAR-22, Run: 008, E, 21, 0, 0
INVAR-22, Run: 009, E, 21, 0, 0
INVAR-22, Run: 010, E, 21, 0, 0
INVAR-22, Run: 011, E, 21, 0, 0
INVAR-22, Run: 012, E, 21, 0, 0
INVAR-22, Run: 013, E, 21, 0, 0
INVAR-22, Run: 014, E, 21, 0, 0
INVAR-22, Run: 015, E, 21, 0, 0
INVAR-22, Run: 016, E, 21, 0, 0
INVAR-22, Run: 017, E, 21, 0, 0
INVAR-22, Run: 018, E, 21, 0, 0
INVAR-22, Run: 019, E, 21, 0, 0
INVAR-22, Run: 020, E, 21, 0, 0
INVAR-22, Run: 021, E, 21, 0, 0
INVAR-22, Run: 022, E, 21, 0, 0
INVAR-22, Run: 023, E, 21, 0, 0
INVAR-22, Run: 024, E, 21, 0, 0
INVAR-22, Run: 025, E, 21, 0, 0
INVAR-22, Run: 026, E, 21, 0, 0
INVAR-22, Run: 027, E, 21, 0, 0
INVAR-22, Run: 028, E, 21, 0, 0
INVAR-22, Run: 029, E, 21, 0, 0
INVAR-22, Run: 030, E, 21, 0, 0
INVAR-22, Run: 031, E, 21, 0, 0
INVAR-22, Run: 032, E, 21, 0, 0
INVAR-22, Run: 033, E, 21, 0, 0
INVAR-22, Run: 034, E, 21, 0, 0
INVAR-22, Run: 035, E, 21, 0, 0
INVAR-22, Run: 036, E, 21, 0, 0
