Input Number, Run_Number, Result@ 100, Y, B, X1, A, C, PO, D, CO, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 18, 37, 1, 0, 9, 1, 37, 18, 139, 10, 10, 102, 9, 7, 1, 9, 27, 18, 201, 100
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 26, 28, 1, 0, 9, 0, 28, 18, 106, 8, 8, 78, 9, 6, 2, 9, 23, 18, 200, 100
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 2, 52, 1, 0, 9, 0, 52, 18, 164, 5, 5, 112, 9, 5, 3, 9, 35, 18, 272, 136
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 38, 17, 1, 0, 9, 1, 17, 18, 131, 7, 7, 114, 9, 6, 2, 9, 17, 18, 171, 85
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1, 9, 18, 153, 5, 5, 144, 9, 2, 6, 9, 13, 18, 205, 102
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 50, 5, 1, 2, 8, 1, 7, 18, 67, 10, 8, 62, 9, 2, 6, 8, 12, 18, 119, 59
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1, 9, 18, 75, 6, 6, 66, 9, 8, 0, 9, 13, 18, 63, 31
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 8, 47, 1, 2, 8, 1, 49, 18, 81, 10, 8, 34, 9, 4, 4, 8, 33, 18, 149, 74
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 0, 9, 0, 4, 18, 105, 3, 3, 101, 9, 5, 3, 9, 11, 18, 166, 83
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 36, 19, 1, 0, 9, 1, 19, 18, 155, 5, 5, 136, 9, 7, 1, 9, 18, 18, 77, 38
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 0, 9, 0, 16, 18, 80, 8, 8, 64, 9, 7, 1, 9, 17, 18, 124, 62
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 0, 26, 29, 1, 0, 9, 1, 29, 18, 117, 8, 8, 88, 9, 4, 4, 9, 23, 18, 161, 80
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 0, 9, 0, 18, 18, 127, 3, 3, 109, 9, 5, 3, 9, 18, 18, 102, 51
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 0, 52, 3, 1, 0, 9, 1, 3, 18, 38, 1, 1, 35, 9, 4, 4, 9, 10, 18, 37, 18
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 0, 8, 46, 1, 0, 9, 0, 46, 18, 97, 11, 11, 51, 9, 7, 1, 9, 32, 18, 148, 74
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 0, 38, 17, 1, 0, 9, 1, 17, 18, 89, 5, 5, 72, 9, 5, 3, 9, 17, 18, 119, 59
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 0, 26, 29, 1, 0, 9, 1, 29, 18, 80, 6, 6, 51, 9, 7, 1, 9, 23, 18, 171, 85
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1, 9, 18, 66, 5, 5, 57, 9, 4, 4, 9, 13, 18, 41, 20
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 2, 8, 0, 6, 18, 57, 7, 5, 53, 9, 5, 3, 8, 12, 18, 138, 69
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1, 15, 18, 59, 4, 4, 44, 9, 6, 2, 9, 16, 18, 107, 53
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 2, 8, 0, 18, 18, 74, 11, 9, 58, 9, 5, 3, 8, 18, 18, 232, 116
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 2, 8, 0, 12, 18, 134, 13, 11, 124, 9, 2, 6, 8, 15, 18, 152, 76
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 48, 7, 1, 2, 8, 1, 9, 18, 89, 10, 8, 82, 9, 4, 4, 8, 13, 18, 95, 47
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 0, 10, 44, 1, 0, 9, 0, 44, 18, 107, 6, 6, 63, 9, 4, 4, 9, 31, 18, 200, 100
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 0, 10, 44, 1, 0, 9, 0, 44, 18, 117, 3, 3, 73, 9, 6, 2, 9, 31, 18, 236, 118
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 0, 50, 5, 1, 0, 9, 1, 5, 18, 63, 7, 7, 58, 9, 6, 2, 9, 11, 18, 75, 37
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 0, 9, 0, 22, 18, 146, 9, 9, 124, 9, 5, 3, 9, 20, 18, 274, 137
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 0, 9, 0, 10, 18, 67, 7, 7, 57, 9, 3, 5, 9, 14, 18, 198, 99
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 0, 18, 37, 1, 2, 8, 1, 39, 18, 99, 5, 3, 62, 9, 7, 1, 8, 28, 18, 145, 72
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 0, 10, 44, 1, 0, 9, 0, 44, 18, 91, 6, 6, 47, 9, 5, 3, 9, 31, 18, 188, 94
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 28, 26, 1, 0, 9, 0, 26, 18, 94, 1, 1, 68, 9, 6, 2, 9, 22, 18, 288, 144
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0, 12, 18, 57, 2, 2, 45, 9, 6, 2, 9, 15, 18, 100, 50
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 0, 36, 19, 1, 2, 8, 1, 21, 18, 82, 8, 6, 63, 9, 4, 4, 8, 19, 18, 179, 89
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 0, 48, 7, 1, 0, 9, 1, 7, 18, 66, 4, 4, 59, 9, 1, 7, 9, 12, 18, 55, 27
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 0, 9, 0, 18, 18, 102, 2, 2, 84, 9, 4, 4, 9, 18, 18, 114, 57
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 0, 14, 40, 1, 0, 9, 0, 40, 18, 142, 11, 11, 102, 9, 5, 3, 9, 29, 18, 286, 143
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 8, 0, 10, 18, 78, 14, 12, 70, 9, 6, 2, 8, 14, 18, 168, 84
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 0, 16, 39, 1, 0, 9, 1, 39, 18, 103, 4, 4, 64, 9, 6, 2, 9, 28, 18, 191, 95
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1, 15, 18, 63, 0, 0, 48, 9, 5, 3, 9, 16, 18, 125, 62
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 42, 13, 1, 2, 8, 1, 15, 18, 117, 4, 2, 104, 9, 6, 2, 8, 16, 18, 227, 113
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1, 15, 18, 115, 8, 8, 100, 9, 5, 3, 9, 16, 18, 129, 64
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 2, 8, 0, 24, 18, 111, 9, 7, 89, 9, 6, 2, 8, 21, 18, 288, 144
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 38, 17, 1, 2, 8, 1, 19, 18, 110, 4, 2, 93, 9, 6, 2, 8, 18, 18, 143, 71
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 0, 44, 11, 1, 2, 8, 1, 13, 18, 89, 7, 5, 78, 9, 4, 4, 8, 15, 18, 143, 71
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1, 9, 18, 25, 3, 3, 16, 9, 5, 3, 9, 13, 18, 73, 36
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 0, 9, 0, 10, 18, 91, 5, 5, 81, 9, 7, 1, 9, 14, 18, 586, 293
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 0, 30, 24, 1, 0, 9, 0, 24, 18, 118, 7, 7, 94, 9, 4, 4, 9, 21, 18, 164, 82
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 18, 37, 1, 0, 9, 1, 37, 18, 124, 7, 7, 87, 9, 5, 3, 9, 27, 18, 167, 83
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1, 15, 18, 98, 9, 9, 83, 9, 6, 2, 9, 16, 18, 173, 86
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 34, 20, 1, 0, 9, 0, 20, 18, 68, 4, 4, 48, 9, 6, 2, 9, 19, 18, 282, 141
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 0, 34, 21, 1, 0, 9, 1, 21, 18, 92, 7, 7, 71, 9, 6, 2, 9, 19, 18, 105, 52
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 0, 36, 19, 1, 0, 9, 1, 19, 18, 94, 1, 1, 75, 9, 4, 4, 9, 18, 18, 155, 77
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 24, 31, 1, 0, 9, 1, 31, 18, 85, 0, 0, 54, 9, 6, 2, 9, 24, 18, 163, 81
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 44, 11, 1, 0, 9, 1, 11, 18, 69, 4, 4, 58, 9, 4, 4, 9, 14, 18, 131, 65
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 0, 8, 47, 1, 0, 9, 1, 47, 18, 99, 5, 5, 52, 9, 5, 3, 9, 32, 18, 165, 82
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 0, 28, 27, 1, 0, 9, 1, 27, 18, 112, 9, 9, 85, 9, 4, 4, 9, 22, 18, 151, 75
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 34, 21, 1, 2, 8, 1, 23, 18, 109, 5, 3, 88, 9, 6, 2, 8, 20, 18, 105, 52
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0, 12, 18, 103, 8, 8, 91, 9, 7, 1, 9, 15, 18, 186, 93
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 2, 8, 0, 6, 18, 57, 7, 5, 53, 9, 4, 4, 8, 12, 18, 170, 85
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 10, 45, 1, 2, 8, 1, 47, 18, 94, 5, 3, 49, 9, 5, 3, 8, 32, 18, 121, 60
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 0, 9, 0, 16, 18, 105, 4, 4, 89, 9, 4, 4, 9, 17, 18, 144, 72
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 0, 9, 0, 18, 18, 172, 7, 7, 154, 9, 6, 2, 9, 18, 18, 268, 134
INVAR-1, Run: 079, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 0, 9, 0, 6, 18, 45, 2, 2, 39, 9, 4, 4, 9, 12, 18, 62, 31
INVAR-1, Run: 080, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0, 8, 18, 48, 9, 9, 40, 9, 5, 3, 9, 13, 18, 174, 87
INVAR-1, Run: 081, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0, 12, 18, 66, 5, 5, 54, 9, 7, 1, 9, 15, 18, 98, 49
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 0, 6, 48, 1, 0, 9, 0, 48, 18, 148, 6, 6, 100, 9, 7, 1, 9, 33, 18, 264, 132
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 0, 22, 33, 1, 0, 9, 1, 33, 18, 107, 1, 1, 74, 9, 8, 0, 9, 25, 18, 157, 78
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 0, 38, 17, 1, 2, 8, 1, 19, 18, 72, 9, 7, 55, 9, 4, 4, 8, 18, 18, 131, 65
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 0, 42, 13, 1, 0, 9, 1, 13, 18, 117, 1, 1, 104, 9, 7, 1, 9, 15, 18, 117, 58
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 0, 9, 0, 16, 18, 124, 10, 10, 108, 9, 4, 4, 9, 17, 18, 438, 219
INVAR-1, Run: 087, P, 0, 0, 0, 0, 0, 0, 42, 13, 1, 2, 8, 1, 15, 18, 65, 7, 5, 52, 9, 7, 1, 8, 16, 18, 101, 50
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 0, 18, 36, 1, 0, 9, 0, 36, 18, 99, 10, 10, 63, 9, 4, 4, 9, 27, 18, 186, 93
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 52, 2, 1, 2, 8, 0, 4, 18, 85, 9, 7, 83, 9, 5, 3, 8, 11, 18, 52, 26
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 2, 8, 0, 14, 18, 85, 5, 3, 73, 9, 6, 2, 8, 16, 18, 116, 58
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 46, 9, 1, 2, 8, 1, 11, 18, 64, 6, 4, 55, 9, 6, 2, 8, 14, 18, 87, 43
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0, 12, 18, 69, 8, 8, 57, 9, 5, 3, 9, 15, 18, 348, 174
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 0, 6, 49, 1, 0, 9, 1, 49, 18, 117, 7, 7, 68, 9, 5, 3, 9, 33, 18, 169, 84
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 2, 8, 0, 6, 18, 51, 10, 8, 47, 9, 3, 5, 8, 12, 18, 262, 131
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 0, 9, 0, 30, 18, 135, 9, 9, 105, 9, 5, 3, 9, 24, 18, 120, 60
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 34, 21, 1, 0, 9, 1, 21, 18, 106, 6, 6, 85, 9, 7, 1, 9, 19, 18, 157, 78
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 40, 15, 1, 2, 8, 1, 17, 18, 66, 11, 9, 51, 9, 5, 3, 8, 17, 18, 97, 48
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 0, 9, 0, 30, 18, 141, 0, 0, 111, 9, 6, 2, 9, 24, 18, 266, 133
INVAR-1, Run: 099, P, 0, 0, 0, 0, 0, 0, 28, 27, 1, 0, 9, 1, 27, 18, 107, 1, 1, 80, 9, 8, 0, 9, 22, 18, 115, 57
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 38, 17, 1, 2, 8, 1, 19, 18, 106, 6, 4, 89, 9, 5, 3, 8, 18, 18, 181, 90
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 276, 325, 1, 0, 100, 1, 325, 200, 4621, 64, 64, 4296, 100, 66, 33, 100, 262, 200, 9773, 4886
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 538, 63, 1, 0, 100, 1, 63, 200, 4126, 73, 73, 4063, 100, 59, 40, 100, 131, 200, 6337, 3168
INVAR-10, Run: 003, P, 0, 0, 0, 0, 0, 0, 542, 59, 1, 0, 100, 1, 59, 200, 4579, 59, 59, 4520, 100, 65, 34, 100, 129, 200, 5183, 2591
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 316, 284, 1, 0, 100, 0, 284, 200, 4595, 73, 73, 4311, 100, 68, 31, 100, 242, 200, 9282, 4641
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 522, 79, 1, 0, 100, 1, 79, 200, 4572, 66, 66, 4493, 100, 64, 35, 100, 139, 200, 7037, 3518
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 0, 488, 112, 1, 2, 99, 0, 114, 200, 4032, 61, 59, 3920, 100, 57, 42, 99, 157, 200, 7118, 3559
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 22, 579, 1, 0, 100, 1, 579, 200, 5126, 82, 82, 4547, 100, 67, 32, 100, 389, 200, 11253, 5626
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 258, 342, 1, 0, 100, 0, 342, 200, 5538, 66, 66, 5196, 100, 64, 35, 100, 271, 200, 11858, 5929
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 508, 92, 1, 2, 99, 0, 94, 200, 4724, 53, 51, 4632, 100, 62, 37, 99, 147, 200, 6928, 3464
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 428, 173, 1, 0, 100, 1, 173, 200, 5626, 69, 69, 5453, 100, 61, 38, 100, 186, 200, 8287, 4143
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 408, 193, 1, 2, 99, 1, 195, 200, 5030, 51, 49, 4837, 100, 61, 38, 99, 197, 200, 10363, 5181
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 538, 62, 1, 0, 100, 0, 62, 200, 3628, 63, 63, 3566, 100, 71, 28, 100, 131, 200, 6144, 3072
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 0, 104, 497, 1, 0, 100, 1, 497, 200, 4367, 68, 68, 3870, 100, 63, 36, 100, 348, 200, 10761, 5380
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 0, 538, 62, 1, 2, 99, 0, 64, 200, 3979, 68, 66, 3917, 100, 51, 48, 99, 132, 200, 6876, 3438
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 0, 434, 167, 1, 2, 99, 1, 169, 200, 5282, 78, 76, 5115, 100, 61, 38, 99, 184, 200, 8115, 4057
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 0, 356, 245, 1, 0, 100, 1, 245, 200, 5222, 69, 69, 4977, 100, 70, 29, 100, 222, 200, 8125, 4062
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 490, 110, 1, 0, 100, 0, 110, 200, 4048, 62, 62, 3938, 100, 61, 38, 100, 155, 200, 7342, 3671
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 376, 224, 1, 0, 100, 0, 224, 200, 4842, 64, 64, 4618, 100, 65, 34, 100, 212, 200, 9786, 4893
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 362, 239, 1, 2, 99, 1, 241, 200, 3936, 88, 86, 3697, 100, 58, 41, 99, 220, 200, 8987, 4493
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 502, 98, 1, 0, 100, 0, 98, 200, 4314, 57, 57, 4216, 100, 61, 38, 100, 149, 200, 8544, 4272
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 0, 536, 65, 1, 0, 100, 1, 65, 200, 4787, 64, 64, 4722, 100, 65, 34, 100, 132, 200, 6819, 3409
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 110, 491, 1, 0, 100, 1, 491, 200, 4873, 61, 61, 4382, 100, 67, 32, 100, 345, 200, 11145, 5572
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 546, 54, 1, 2, 99, 0, 56, 200, 4482, 55, 53, 4428, 100, 67, 32, 99, 128, 200, 6228, 3114
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 470, 130, 1, 2, 99, 0, 132, 200, 4608, 66, 64, 4478, 100, 66, 33, 99, 166, 200, 7162, 3581
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 0, 548, 52, 1, 0, 100, 0, 52, 200, 4214, 61, 61, 4162, 100, 64, 35, 100, 126, 200, 7006, 3503
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 396, 205, 1, 2, 99, 1, 207, 200, 3909, 75, 73, 3704, 100, 66, 33, 99, 203, 200, 7905, 3952
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 14, 586, 1, 2, 99, 0, 588, 200, 6084, 64, 62, 5498, 100, 61, 38, 99, 394, 200, 10330, 5165
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 544, 57, 1, 0, 100, 1, 57, 200, 4793, 86, 86, 4736, 100, 66, 33, 100, 128, 200, 7467, 3733
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 44, 557, 1, 0, 100, 1, 557, 200, 5293, 49, 49, 4736, 100, 63, 36, 100, 378, 200, 12717, 6358
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 406, 194, 1, 0, 100, 0, 194, 200, 4542, 71, 71, 4348, 100, 61, 38, 100, 197, 200, 8598, 4299
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 286, 314, 1, 0, 100, 0, 314, 200, 3740, 62, 62, 3426, 100, 65, 34, 100, 257, 200, 9094, 4547
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 492, 109, 1, 2, 99, 1, 111, 200, 4308, 78, 76, 4199, 100, 62, 37, 99, 155, 200, 7571, 3785
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 550, 51, 1, 0, 100, 1, 51, 200, 4277, 68, 68, 4226, 100, 59, 40, 100, 125, 200, 7093, 3546
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 0, 486, 114, 1, 2, 99, 0, 116, 200, 4233, 64, 62, 4119, 100, 54, 45, 99, 158, 200, 7268, 3634
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 0, 434, 166, 1, 2, 99, 0, 168, 200, 4818, 70, 68, 4652, 100, 65, 34, 99, 184, 200, 11046, 5523
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 0, 400, 200, 1, 0, 100, 0, 200, 200, 4745, 71, 71, 4545, 100, 63, 36, 100, 200, 200, 8074, 4037
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 0, 466, 135, 1, 0, 100, 1, 135, 200, 5070, 73, 73, 4935, 100, 65, 34, 100, 167, 200, 8313, 4156
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 0, 424, 176, 1, 0, 100, 0, 176, 200, 5067, 57, 57, 4891, 100, 64, 35, 100, 188, 200, 7436, 3718
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 0, 374, 227, 1, 0, 100, 1, 227, 200, 4381, 56, 56, 4154, 100, 67, 32, 100, 213, 200, 9205, 4602
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 0, 398, 202, 1, 2, 99, 0, 204, 200, 4336, 67, 65, 4134, 100, 51, 48, 99, 202, 200, 8840, 4420
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 0, 470, 130, 1, 2, 99, 0, 132, 200, 3542, 61, 59, 3412, 100, 66, 33, 99, 166, 200, 6342, 3171
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 0, 336, 264, 1, 0, 100, 0, 264, 200, 4141, 61, 61, 3877, 100, 65, 34, 100, 232, 200, 9908, 4954
INVAR-10, Run: 043, P, 0, 0, 0, 0, 0, 0, 506, 94, 1, 0, 100, 0, 94, 200, 3917, 74, 74, 3823, 100, 67, 32, 100, 147, 200, 6920, 3460
INVAR-10, Run: 044, P, 0, 0, 0, 0, 0, 0, 468, 132, 1, 0, 100, 0, 132, 200, 5180, 79, 79, 5048, 100, 70, 29, 100, 166, 200, 8112, 4056
INVAR-10, Run: 045, P, 0, 0, 0, 0, 0, 0, 532, 68, 1, 0, 100, 0, 68, 200, 4906, 86, 86, 4838, 100, 64, 35, 100, 134, 200, 8822, 4411
