Input Number, Run_Number, Result@ 100, Leaderan, Leaderap, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 011, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 18, 8, 1, 0, 8, 1, 0, 11, 1, 14, 2, 0, 1, 17, 1, 0, 13, 1, 15, 2, 1, 1, 0, 9, 0, 0, 6, 1, 7, 2, 1, 0, 0, 19, 0, 7, 1, 8, 2, 1, 17, 0, 1, 2, 6, 0, 4, 2, 1, 1, 1, 1, 1, 6, 0, 20, 0, 26, 3, 0, 0, 0, 0, 0, 0, 0, 7, 1, 1, 4, 1, 0, 3, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 8, 1, 0, 17, 5, 19, 6, 0, 1, 16, 1, 1, 6, 2, 9, 4, 1, 1, 0, 9, 0, 0, 37, 5, 38, 6, 1, 0, 0, 13, 0, 7, 5, 7, 5, 0, 15, 3, 0, 13, 0, 5, 17, 6, 1, 1, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 013, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 16, 9, 0, 0, 9, 0, 0, 21, 2, 22, 3, 2, 1, 17, 1, 0, 6, 2, 8, 3, 1, 1, 0, 9, 0, 0, 2, 1, 3, 2, 1, 0, 0, 9, 0, 11, 7, 12, 8, 1, 16, 2, 0, 3, 0, 1, 6, 2, 1, 1, 1, 1, 1, 3, 0, 12, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 11, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 54, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 1, 0, 7, 2, 0, 35, 11, 38, 11, 2, 0, 17, 1, 0, 25, 8, 27, 9, 1, 1, 0, 9, 0, 0, 7, 1, 7, 1, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 5, 2, 6, 2, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 9, 0, 0, 1, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 0, 1, 7, 2, 0, 10, 1, 14, 3, 0, 1, 17, 1, 0, 30, 6, 32, 7, 1, 1, 0, 9, 0, 0, 11, 3, 12, 4, 1, 0, 0, 18, 0, 6, 0, 6, 0, 0, 16, 2, 0, 19, 0, 1, 21, 1, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 016, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 15, 9, 0, 0, 8, 1, 0, 13, 2, 15, 3, 3, 1, 18, 0, 0, 17, 2, 18, 3, 1, 1, 0, 8, 1, 0, 20, 10, 22, 11, 1, 0, 0, 13, 0, 2, 0, 3, 1, 1, 16, 0, 0, 1, 3, 0, 2, 1, 1, 1, 1, 1, 1, 1, 0, 17, 0, 17, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 5, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 017, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 16, 8, 1, 0, 8, 1, 0, 6, 1, 9, 2, 2, 1, 15, 2, 1, 12, 4, 16, 6, 1, 1, 0, 9, 0, 0, 18, 10, 19, 11, 1, 0, 0, 10, 0, 0, 0, 1, 1, 1, 15, 3, 0, 1, 0, 0, 5, 1, 1, 1, 1, 1, 1, 1, 0, 13, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 14, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 018, F, 0, 1, 0, 0, 0, 5, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 18, 9, 0, 0, 9, 0, 0, 39, 14, 40, 15, 0, 1, 12, 1, 0, 0, 1, 2, 2, 1, 1, 0, 6, 0, 0, 19, 1, 20, 2, 1, 1, 0, 5, 0, 2, 0, 3, 1, 1, 12, 1, 0, 27, 0, 5, 29, 6, 1, 1, 1, 1, 1, 1, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 9, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 2, 0, 7, 2, 0, 28, 9, 32, 9, 2, 0, 15, 3, 0, 11, 1, 15, 2, 1, 1, 0, 9, 0, 0, 12, 2, 12, 2, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 17, 1, 0, 4, 9, 0, 6, 1, 1, 1, 1, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 020, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 16, 9, 0, 0, 9, 0, 0, 3, 1, 4, 2, 2, 1, 16, 1, 1, 9, 3, 12, 5, 1, 1, 0, 8, 1, 0, 4, 1, 6, 2, 1, 0, 0, 16, 0, 22, 6, 23, 7, 1, 16, 2, 0, 15, 5, 1, 18, 2, 1, 1, 1, 1, 1, 1, 0, 19, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 0, 0, 15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 021, F, 0, 1, 0, 4, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 14, 7, 0, 0, 7, 0, 0, 13, 1, 14, 2, 0, 1, 12, 2, 0, 13, 1, 16, 2, 1, 1, 0, 7, 0, 0, 1, 1, 2, 2, 1, 0, 0, 0, 0, 3, 0, 4, 1, 1, 13, 1, 0, 5, 0, 2, 7, 3, 1, 1, 1, 1, 1, 2, 0, 1, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 022, F, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 14, 7, 1, 0, 8, 0, 0, 1, 0, 3, 1, 3, 1, 12, 2, 3, 5, 3, 11, 7, 1, 1, 0, 8, 0, 0, 7, 0, 8, 1, 1, 1, 0, 2, 0, 1, 0, 2, 1, 1, 17, 0, 0, 5, 0, 2, 6, 3, 1, 1, 1, 1, 1, 5, 0, 6, 0, 21, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 023, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 14, 8, 1, 0, 9, 0, 0, 16, 4, 18, 5, 4, 1, 17, 1, 0, 1, 0, 3, 1, 1, 1, 0, 9, 0, 0, 20, 4, 21, 5, 1, 0, 0, 23, 0, 0, 0, 1, 1, 1, 16, 1, 0, 0, 7, 0, 2, 1, 1, 1, 1, 1, 1, 3, 0, 28, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 8, 3, 0, 4, 0, 0, 6, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 024, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 16, 9, 0, 0, 8, 1, 0, 4, 1, 6, 2, 1, 1, 14, 2, 2, 14, 8, 19, 11, 1, 1, 1, 9, 0, 0, 5, 3, 6, 4, 1, 0, 0, 12, 0, 4, 2, 5, 3, 1, 17, 1, 0, 2, 1, 0, 4, 1, 1, 1, 1, 1, 1, 1, 0, 15, 0, 17, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 2, 0, 0, 16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 025, F, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 17, 9, 0, 0, 8, 1, 0, 26, 3, 28, 4, 1, 1, 14, 1, 0, 0, 0, 2, 1, 1, 1, 0, 7, 0, 0, 1, 0, 2, 1, 1, 0, 1, 10, 0, 4, 3, 6, 4, 1, 14, 1, 0, 10, 2, 2, 12, 3, 1, 1, 1, 1, 1, 2, 1, 12, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 026, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 18, 9, 0, 0, 8, 1, 0, 5, 1, 7, 2, 0, 1, 17, 1, 0, 13, 3, 15, 4, 1, 1, 0, 8, 0, 1, 15, 1, 17, 3, 1, 0, 0, 6, 0, 14, 3, 15, 4, 1, 16, 1, 1, 1, 0, 1, 4, 3, 1, 1, 1, 1, 1, 1, 0, 7, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 027, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 15, 9, 0, 0, 8, 1, 0, 9, 4, 11, 5, 3, 1, 16, 1, 1, 11, 5, 14, 7, 1, 1, 0, 8, 1, 0, 11, 3, 13, 4, 1, 0, 0, 6, 0, 6, 0, 7, 1, 1, 18, 0, 0, 2, 1, 0, 3, 1, 1, 1, 1, 1, 1, 4, 0, 10, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
