Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 016, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 72, 1, 1, 38, 6, 5, 1, 6, 9, 13, 77, 41
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 24, 3, 3, 24, 6, 5, 0, 6, 9, 12, 246, 126
INVAR-1, Run: 018, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 53, 5, 5, 19, 6, 3, 3, 6, 9, 13, 37, 21
INVAR-1, Run: 019, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 109, 4, 4, 75, 6, 6, 0, 6, 9, 13, 57, 31
INVAR-1, Run: 020, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 62, 4, 4, 62, 7, 4, 2, 7, 9, 14, 28, 16
INVAR-1, Run: 021, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 99, 4, 4, 65, 6, 5, 1, 6, 9, 13, 63, 34
INVAR-1, Run: 022, F, 1, 0, 2, 1, 0, 0, 1, 0, 36, 36, 0, 0, 5, 13, 105, 6, 6, 69, 6, 5, 1, 6, 8, 13, 135, 69
INVAR-1, Run: 023, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 60, 3, 3, 26, 6, 6, 0, 6, 9, 13, 41, 23
INVAR-1, Run: 024, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 50, 1, 1, 16, 6, 6, 0, 6, 9, 13, 47, 26
INVAR-1, Run: 025, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 47, 7, 7, 13, 6, 2, 4, 6, 9, 13, 43, 24
INVAR-1, Run: 026, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 156, 9, 9, 122, 6, 4, 2, 6, 9, 13, 151, 78
INVAR-1, Run: 027, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 45, 1, 1, 45, 7, 4, 2, 7, 9, 14, 140, 72
INVAR-1, Run: 028, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 44, 3, 3, 44, 7, 5, 1, 7, 9, 14, 20, 12
INVAR-1, Run: 029, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 79, 4, 4, 45, 6, 4, 2, 6, 9, 13, 95, 50
INVAR-1, Run: 030, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 123, 5, 5, 89, 6, 6, 0, 6, 9, 13, 37, 21
INVAR-1, Run: 031, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 46, 4, 4, 12, 6, 4, 2, 6, 9, 13, 55, 30
INVAR-1, Run: 032, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 98, 7, 7, 64, 6, 4, 2, 6, 9, 13, 39, 22
INVAR-1, Run: 033, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 70, 6, 6, 36, 6, 4, 2, 6, 9, 13, 37, 21
INVAR-1, Run: 034, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 25, 3, 1, 25, 7, 5, 1, 6, 9, 14, 64, 34
INVAR-1, Run: 035, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 21, 1, 1, 21, 6, 3, 2, 6, 9, 12, 92, 49
INVAR-1, Run: 036, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 11, 2, 2, 11, 6, 2, 3, 6, 9, 12, 46, 26
INVAR-1, Run: 037, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 74, 3, 3, 40, 6, 6, 0, 6, 9, 13, 89, 47
INVAR-1, Run: 038, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 98, 10, 10, 64, 6, 5, 1, 6, 9, 13, 69, 37
INVAR-1, Run: 039, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 83, 2, 2, 49, 6, 3, 3, 6, 9, 13, 105, 55
INVAR-1, Run: 040, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 44, 6, 6, 10, 6, 3, 3, 6, 9, 13, 23, 14
INVAR-1, Run: 041, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 155, 7, 7, 121, 6, 5, 1, 6, 9, 13, 95, 50
INVAR-1, Run: 042, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 61, 0, 0, 27, 6, 4, 2, 6, 9, 13, 39, 22
INVAR-1, Run: 043, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 123, 4, 4, 89, 6, 1, 5, 6, 9, 13, 93, 49
INVAR-1, Run: 044, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 19, 1, 1, 19, 6, 5, 0, 6, 9, 12, 62, 34
INVAR-1, Run: 045, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 41, 3, 3, 7, 6, 6, 0, 6, 9, 13, 101, 53
INVAR-1, Run: 046, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 62, 2, 2, 28, 6, 6, 0, 6, 9, 13, 39, 22
INVAR-1, Run: 047, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 82, 3, 3, 48, 6, 6, 0, 6, 9, 13, 59, 32
INVAR-1, Run: 048, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 35, 6, 4, 35, 7, 4, 2, 6, 9, 14, 56, 30
INVAR-1, Run: 049, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 60, 7, 7, 26, 6, 4, 2, 6, 9, 13, 19, 12
INVAR-1, Run: 050, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 140, 6, 6, 106, 6, 3, 3, 6, 9, 13, 143, 74
INVAR-1, Run: 051, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 33, 6, 4, 33, 7, 4, 2, 6, 9, 14, 148, 76
INVAR-1, Run: 052, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 59, 1, 1, 25, 6, 4, 2, 6, 9, 13, 17, 11
INVAR-1, Run: 053, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 89, 5, 5, 55, 6, 5, 1, 6, 9, 13, 37, 21
INVAR-1, Run: 054, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 81, 0, 0, 47, 6, 4, 2, 6, 9, 13, 17, 11
INVAR-1, Run: 055, F, 1, 0, 1, 1, 1, 0, 1, 0, 35, 35, 0, 0, 5, 13, 70, 6, 6, 35, 6, 5, 1, 6, 8, 13, 76, 40
INVAR-1, Run: 056, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 38, 8, 6, 38, 7, 2, 4, 6, 9, 14, 30, 17
INVAR-1, Run: 057, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 87, 6, 6, 53, 6, 4, 2, 6, 9, 13, 55, 30
INVAR-1, Run: 058, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 63, 2, 2, 29, 6, 6, 0, 6, 9, 13, 71, 38
INVAR-1, Run: 059, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 46, 1, 1, 12, 6, 5, 1, 6, 9, 13, 37, 21
INVAR-1, Run: 060, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 63, 4, 4, 29, 6, 5, 1, 6, 9, 13, 85, 45
INVAR-1, Run: 061, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 62, 3, 3, 28, 6, 3, 3, 6, 9, 13, 33, 19
INVAR-1, Run: 062, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 39, 1, 1, 5, 6, 4, 2, 6, 9, 13, 19, 12
INVAR-1, Run: 063, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 78, 3, 3, 44, 6, 6, 0, 6, 9, 13, 101, 53
INVAR-1, Run: 064, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 87, 4, 4, 53, 6, 4, 2, 6, 9, 13, 81, 43
INVAR-1, Run: 065, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 30, 1, 1, 30, 6, 3, 2, 6, 9, 12, 52, 29
INVAR-1, Run: 066, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 21, 3, 3, 21, 7, 5, 1, 7, 9, 14, 60, 32
INVAR-1, Run: 067, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 95, 3, 3, 61, 6, 5, 1, 6, 9, 13, 63, 34
INVAR-1, Run: 068, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 102, 4, 4, 68, 6, 4, 2, 6, 9, 13, 79, 42
INVAR-1, Run: 069, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 63, 4, 4, 29, 6, 3, 3, 6, 9, 13, 35, 20
INVAR-1, Run: 070, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 37, 5, 3, 37, 7, 3, 3, 6, 9, 14, 304, 154
INVAR-1, Run: 071, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 22, 4, 2, 22, 7, 4, 2, 6, 9, 14, 18, 11
INVAR-1, Run: 072, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 49, 5, 5, 49, 6, 2, 3, 6, 9, 12, 76, 41
INVAR-1, Run: 073, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 66, 3, 3, 32, 6, 5, 1, 6, 9, 13, 59, 32
INVAR-1, Run: 074, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 84, 3, 3, 50, 6, 3, 3, 6, 9, 13, 43, 24
INVAR-1, Run: 075, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 26, 4, 4, 26, 7, 4, 2, 7, 9, 14, 54, 29
INVAR-1, Run: 076, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 112, 4, 4, 78, 6, 5, 1, 6, 9, 13, 83, 44
INVAR-1, Run: 077, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 57, 6, 6, 23, 6, 2, 4, 6, 9, 13, 79, 42
INVAR-1, Run: 078, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 86, 4, 4, 52, 6, 4, 2, 6, 9, 13, 75, 40
INVAR-1, Run: 079, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 50, 8, 6, 50, 7, 4, 2, 6, 9, 14, 384, 194
INVAR-1, Run: 080, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 25, 10, 8, 25, 7, 4, 2, 6, 9, 14, 196, 100
INVAR-1, Run: 081, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 13, 8, 8, 13, 7, 3, 3, 7, 9, 14, 34, 19
INVAR-1, Run: 082, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 71, 2, 2, 37, 6, 4, 2, 6, 9, 13, 39, 22
INVAR-1, Run: 083, F, 1, 0, 1, 1, 1, 0, 1, 0, 35, 35, 0, 0, 5, 13, 129, 5, 5, 94, 6, 5, 1, 6, 8, 13, 124, 64
INVAR-1, Run: 084, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 59, 3, 3, 25, 6, 6, 0, 6, 9, 13, 61, 33
INVAR-1, Run: 085, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 21, 7, 7, 21, 7, 3, 3, 7, 9, 14, 30, 17
INVAR-1, Run: 086, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 54, 10, 10, 20, 6, 3, 3, 6, 9, 13, 75, 40
INVAR-1, Run: 087, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 26, 4, 4, 26, 7, 3, 3, 7, 9, 14, 34, 19
INVAR-1, Run: 088, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 46, 9, 9, 12, 6, 2, 4, 6, 9, 13, 69, 37
INVAR-1, Run: 089, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 20, 4, 4, 20, 6, 4, 1, 6, 9, 12, 28, 17
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 42, 4, 4, 42, 6, 2, 3, 6, 9, 12, 84, 45
INVAR-1, Run: 091, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 120, 4, 4, 86, 6, 4, 2, 6, 9, 13, 71, 38
INVAR-1, Run: 092, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 76, 7, 7, 42, 6, 4, 2, 6, 9, 13, 39, 22
INVAR-1, Run: 093, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 91, 7, 7, 57, 6, 4, 2, 6, 9, 13, 99, 52
INVAR-1, Run: 094, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 65, 5, 5, 65, 7, 5, 1, 7, 9, 14, 86, 45
INVAR-1, Run: 095, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 109, 6, 6, 75, 6, 5, 1, 6, 9, 13, 29, 17
INVAR-1, Run: 096, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 13, 4, 4, 13, 6, 2, 3, 6, 9, 12, 134, 70
INVAR-1, Run: 097, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 95, 7, 7, 61, 6, 4, 2, 6, 9, 13, 37, 21
INVAR-1, Run: 098, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 69, 1, 1, 35, 6, 5, 1, 6, 9, 13, 75, 40
INVAR-1, Run: 099, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 52, 3, 3, 52, 7, 4, 2, 7, 9, 14, 84, 44
INVAR-1, Run: 100, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 55, 4, 4, 21, 6, 5, 1, 6, 9, 13, 65, 35
INVAR-10, Run: 001, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1615, 39, 39, 1275, 67, 53, 14, 67, 100, 135, 1653, 859
INVAR-10, Run: 002, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1420, 49, 49, 1420, 67, 42, 24, 67, 100, 134, 1680, 873
INVAR-10, Run: 003, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1330, 56, 56, 1330, 67, 43, 23, 67, 100, 134, 1040, 553
INVAR-10, Run: 004, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1272, 46, 46, 1272, 67, 41, 25, 67, 100, 134, 1622, 844
INVAR-10, Run: 005, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1422, 57, 57, 1422, 67, 47, 19, 67, 100, 134, 3148, 1607
INVAR-10, Run: 006, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 977, 49, 47, 977, 67, 38, 28, 66, 100, 134, 2526, 1296
INVAR-10, Run: 007, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1295, 46, 46, 1295, 67, 37, 29, 67, 100, 134, 1522, 794
INVAR-10, Run: 008, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1484, 47, 47, 1484, 67, 42, 24, 67, 100, 134, 3040, 1553
INVAR-10, Run: 009, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1196, 37, 37, 1196, 67, 43, 23, 67, 100, 134, 1928, 997
INVAR-10, Run: 010, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1112, 33, 31, 1112, 67, 42, 24, 66, 100, 134, 1656, 861
INVAR-10, Run: 011, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1805, 49, 49, 1805, 67, 40, 26, 67, 100, 134, 3700, 1883
INVAR-10, Run: 012, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1569, 40, 38, 1569, 67, 43, 23, 66, 100, 134, 1740, 903
INVAR-10, Run: 013, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1092, 51, 49, 1092, 67, 43, 23, 66, 100, 134, 1390, 728
INVAR-10, Run: 014, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1104, 48, 46, 1104, 67, 40, 26, 66, 100, 134, 2692, 1379
INVAR-10, Run: 015, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1739, 48, 48, 1399, 67, 39, 28, 67, 100, 135, 1919, 992
INVAR-10, Run: 016, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1046, 43, 43, 1046, 67, 37, 29, 67, 100, 134, 1630, 848
INVAR-10, Run: 017, F, 4, 0, 0, 0, 0, 0, 0, 344, 0, 0, 1, 0, 64, 136, 1186, 41, 41, 1186, 68, 43, 24, 68, 100, 136, 1836, 950
INVAR-10, Run: 018, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1618, 36, 36, 1618, 67, 45, 21, 67, 100, 134, 3542, 1804
INVAR-10, Run: 019, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1084, 46, 46, 1084, 67, 43, 23, 67, 100, 134, 2148, 1107
INVAR-10, Run: 020, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1673, 56, 56, 1333, 67, 38, 29, 67, 100, 135, 1573, 819
INVAR-10, Run: 021, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1925, 44, 44, 1925, 67, 47, 19, 67, 100, 134, 2512, 1289
INVAR-10, Run: 022, F, 3, 0, 0, 0, 0, 0, 0, 344, 0, 2, 1, 2, 64, 136, 1135, 45, 43, 1135, 68, 40, 27, 67, 100, 136, 1588, 826
INVAR-10, Run: 023, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1759, 50, 50, 1759, 67, 35, 31, 67, 100, 134, 4564, 2315
INVAR-10, Run: 024, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1377, 38, 38, 1037, 67, 47, 20, 67, 100, 135, 1803, 934
INVAR-10, Run: 025, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 870, 42, 42, 870, 67, 40, 26, 67, 100, 134, 1696, 881
INVAR-10, Run: 026, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 941, 41, 39, 941, 67, 45, 21, 66, 100, 134, 1512, 789
INVAR-10, Run: 027, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1777, 38, 38, 1777, 67, 41, 25, 67, 100, 134, 1500, 783
INVAR-10, Run: 028, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1974, 57, 55, 1974, 67, 38, 28, 66, 100, 134, 1624, 845
INVAR-10, Run: 029, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1781, 46, 46, 1441, 67, 42, 25, 67, 100, 135, 2149, 1107
INVAR-10, Run: 030, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1386, 30, 30, 1386, 67, 44, 22, 67, 100, 134, 1874, 970
INVAR-10, Run: 031, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1391, 27, 25, 1391, 67, 45, 21, 66, 100, 134, 2342, 1204
INVAR-10, Run: 032, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1102, 49, 49, 1102, 67, 37, 29, 67, 100, 134, 1516, 791
INVAR-10, Run: 033, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1360, 57, 57, 1360, 67, 37, 29, 67, 100, 134, 2210, 1138
INVAR-10, Run: 034, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1290, 46, 46, 950, 67, 41, 26, 67, 100, 135, 1109, 587
INVAR-10, Run: 035, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1575, 37, 37, 1575, 67, 47, 19, 67, 100, 134, 1634, 850
INVAR-10, Run: 036, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1494, 40, 40, 1154, 67, 44, 23, 67, 100, 135, 2027, 1046
INVAR-10, Run: 037, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 2099, 49, 49, 1759, 67, 45, 22, 67, 100, 135, 2005, 1035
INVAR-10, Run: 038, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 2034, 39, 39, 1694, 67, 39, 28, 67, 100, 135, 1999, 1032
INVAR-10, Run: 039, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 2232, 42, 42, 2232, 67, 36, 30, 67, 100, 134, 2034, 1050
INVAR-10, Run: 040, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1878, 44, 44, 1538, 67, 40, 27, 67, 100, 135, 1363, 714
INVAR-10, Run: 041, F, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 2264, 47, 47, 1924, 67, 53, 14, 67, 100, 135, 1775, 920
INVAR-10, Run: 042, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1505, 49, 47, 1505, 67, 49, 17, 66, 100, 134, 1752, 909
INVAR-10, Run: 043, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1013, 49, 47, 1013, 67, 39, 27, 66, 100, 134, 1578, 822
INVAR-10, Run: 044, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1302, 57, 57, 1302, 67, 46, 20, 67, 100, 134, 1896, 981
INVAR-10, Run: 045, F, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1848, 56, 54, 1848, 67, 40, 26, 66, 100, 134, 1396, 731
INVAR-10, Run: 046, F, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1406, 32, 32, 1406, 67, 43, 23, 67, 100, 134, 4706, 2386
