Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F
10, Run: 096, P, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
10, Run: 097, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 098, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 099, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 100, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
2, Run: 001, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 002, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 003, P, 15, 0, 0, 0, 1, 0, 1, 0, 243, 243, 0, 0
2, Run: 004, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 005, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 006, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 007, P, 17, 0, 0, 0, 1, 0, 1, 0, 231, 231, 0, 0
2, Run: 008, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 009, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 010, P, 10, 0, 0, 0, 1, 0, 1, 0, 273, 273, 0, 0
2, Run: 011, P, 9, 0, 0, 0, 1, 0, 1, 0, 279, 279, 0, 0
2, Run: 012, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 013, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 014, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 015, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 016, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 017, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 018, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 019, P, 15, 0, 0, 0, 1, 0, 1, 0, 243, 243, 0, 0
