Input Number, Run_Number, Result@ 100, Y, A, X1, B, C, PO, D, CO, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 0, 248, 352, 1, 3, 276, 0, 355, 200, 5117, 62, 59, 4765, 100, 69, 30, 276, 100, 200, 4252, 2126
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 536, 64, 1, 0, 132, 0, 64, 200, 5141, 83, 83, 5077, 100, 69, 30, 132, 100, 200, 5402, 2701
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 470, 130, 1, 3, 165, 0, 133, 200, 4556, 76, 73, 4426, 100, 57, 42, 165, 100, 200, 4390, 2195
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 386, 214, 1, 1, 207, 0, 215, 200, 4750, 82, 81, 4536, 100, 54, 45, 207, 100, 200, 4648, 2324
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 56, 544, 1, 4, 372, 0, 548, 200, 4306, 74, 70, 3762, 100, 66, 33, 372, 100, 200, 3728, 1864
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 184, 416, 1, 1, 308, 0, 417, 200, 5802, 75, 74, 5386, 100, 62, 37, 308, 100, 200, 4350, 2175
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 396, 204, 1, 3, 202, 0, 207, 200, 4207, 92, 89, 4003, 100, 66, 33, 202, 100, 200, 4700, 2350
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 0, 442, 158, 1, 1, 179, 0, 159, 200, 4049, 66, 65, 3891, 100, 69, 30, 179, 100, 200, 5108, 2554
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 0, 506, 94, 1, 1, 147, 0, 95, 200, 4047, 56, 55, 3953, 100, 57, 42, 147, 100, 200, 6038, 3019
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 0, 424, 176, 1, 0, 188, 0, 176, 200, 4234, 74, 74, 4058, 100, 57, 42, 188, 100, 200, 6498, 3249
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 0, 240, 360, 1, 1, 280, 0, 361, 200, 4897, 89, 88, 4537, 100, 58, 41, 280, 100, 200, 4468, 2234
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 202, 398, 1, 3, 299, 0, 401, 200, 5452, 63, 60, 5054, 100, 70, 29, 299, 100, 200, 4910, 2455
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 532, 68, 1, 0, 134, 0, 68, 200, 4982, 68, 68, 4914, 100, 60, 39, 134, 100, 200, 5234, 2617
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 520, 80, 1, 2, 140, 0, 82, 200, 5008, 65, 63, 4928, 100, 68, 31, 140, 100, 200, 5466, 2733
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 450, 150, 1, 0, 175, 0, 150, 200, 4532, 56, 56, 4382, 100, 58, 41, 175, 100, 200, 5862, 2931
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 0, 246, 354, 1, 2, 277, 0, 356, 200, 4030, 64, 62, 3676, 100, 62, 37, 277, 100, 200, 3718, 1859
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 404, 196, 1, 2, 198, 0, 198, 200, 5290, 64, 62, 5094, 100, 66, 33, 198, 100, 200, 3344, 1672
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 436, 164, 1, 0, 182, 0, 164, 200, 4431, 64, 64, 4267, 100, 67, 32, 182, 100, 200, 5184, 2592
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 440, 160, 1, 1, 180, 0, 161, 200, 3432, 80, 79, 3272, 100, 61, 38, 180, 100, 200, 3734, 1867
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 0, 114, 486, 1, 1, 343, 0, 487, 200, 4630, 65, 64, 4144, 100, 65, 34, 343, 100, 200, 3944, 1972
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 338, 262, 1, 2, 231, 0, 264, 200, 5480, 89, 87, 5218, 100, 57, 42, 231, 100, 200, 4746, 2373
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 346, 254, 1, 3, 227, 0, 257, 200, 4899, 63, 60, 4645, 100, 72, 27, 227, 100, 200, 3716, 1858
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 522, 78, 1, 0, 139, 0, 78, 200, 4651, 69, 69, 4573, 100, 64, 35, 139, 100, 200, 4802, 2401
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 516, 84, 1, 3, 142, 0, 87, 200, 3727, 82, 79, 3643, 100, 55, 44, 142, 100, 200, 5466, 2733
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 358, 242, 1, 3, 221, 0, 245, 200, 4757, 96, 93, 4515, 100, 61, 38, 221, 100, 200, 6590, 3295
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 284, 316, 1, 4, 258, 0, 320, 200, 5097, 90, 86, 4781, 100, 73, 26, 258, 100, 200, 4200, 2100
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 398, 202, 1, 1, 201, 0, 203, 200, 4742, 72, 71, 4540, 100, 67, 32, 201, 100, 200, 4324, 2162
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 424, 176, 1, 2, 188, 0, 178, 200, 5643, 71, 69, 5467, 100, 65, 34, 188, 100, 200, 4508, 2254
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 0, 372, 228, 1, 0, 214, 0, 228, 200, 4625, 70, 70, 4397, 100, 55, 44, 214, 100, 200, 4040, 2020
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 0, 502, 98, 1, 3, 149, 0, 101, 200, 4627, 83, 80, 4529, 100, 67, 32, 149, 100, 200, 4804, 2402
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 0, 464, 136, 1, 2, 168, 0, 138, 200, 5088, 75, 73, 4952, 100, 67, 32, 168, 100, 200, 7690, 3845
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 0, 400, 200, 1, 2, 200, 0, 202, 200, 4785, 65, 63, 4585, 100, 62, 37, 200, 100, 200, 5334, 2667
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 0, 446, 154, 1, 2, 177, 0, 156, 200, 7041, 84, 82, 6887, 100, 67, 32, 177, 100, 200, 4660, 2330
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 0, 282, 318, 1, 4, 259, 0, 322, 200, 5965, 77, 73, 5647, 100, 51, 48, 259, 100, 200, 6868, 3434
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 0, 342, 258, 1, 1, 229, 0, 259, 200, 3556, 67, 66, 3298, 100, 67, 32, 229, 100, 200, 4012, 2006
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 0, 320, 280, 1, 4, 240, 0, 284, 200, 4817, 79, 75, 4537, 100, 63, 36, 240, 100, 200, 4302, 2151
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 0, 392, 208, 1, 3, 204, 0, 211, 200, 4471, 73, 70, 4263, 100, 61, 38, 204, 100, 200, 5158, 2579
INVAR-10, Run: 043, P, 0, 0, 0, 0, 0, 0, 506, 94, 1, 3, 147, 0, 97, 200, 3850, 102, 99, 3756, 100, 57, 42, 147, 100, 200, 4360, 2180
INVAR-10, Run: 044, P, 0, 0, 0, 0, 0, 0, 228, 372, 1, 1, 286, 0, 373, 200, 4309, 82, 81, 3937, 100, 62, 37, 286, 100, 200, 3336, 1668
INVAR-10, Run: 045, P, 0, 0, 0, 0, 0, 0, 244, 356, 1, 2, 278, 0, 358, 200, 4326, 79, 77, 3970, 100, 59, 40, 278, 100, 200, 4108, 2054
