Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
INVAR-10, Run: 038, P, 13, 1403, 0, 0, 0, 0, 5
INVAR-10, Run: 039, P, 13, 1420, 0, 0, 0, 0, 5
INVAR-10, Run: 040, P, 13, 1327, 0, 0, 0, 0, 5
INVAR-10, Run: 041, P, 14, 1396, 0, 0, 0, 0, 5
INVAR-10, Run: 042, P, 13, 1307, 0, 0, 0, 0, 5
INVAR-10, Run: 043, P, 13, 1308, 0, 0, 0, 0, 5
INVAR-10, Run: 044, P, 14, 1417, 0, 0, 0, 0, 5
INVAR-10, Run: 045, P, 13, 1305, 0, 0, 0, 0, 5
INVAR-10, Run: 046, P, 13, 1291, 0, 0, 0, 0, 5
INVAR-10, Run: 047, P, 13, 1344, 0, 0, 0, 0, 5
INVAR-10, Run: 048, P, 13, 1290, 0, 0, 0, 0, 5
INVAR-10, Run: 049, P, 13, 1251, 0, 0, 0, 0, 5
INVAR-10, Run: 050, P, 13, 1343, 0, 0, 0, 0, 5
INVAR-10, Run: 051, P, 14, 1389, 0, 0, 0, 0, 5
INVAR-10, Run: 052, P, 14, 1385, 0, 0, 0, 0, 5
INVAR-10, Run: 053, P, 15, 1511, 0, 0, 0, 0, 5
INVAR-10, Run: 054, P, 13, 1292, 0, 0, 0, 0, 5
INVAR-10, Run: 055, P, 14, 1474, 0, 0, 0, 0, 5
INVAR-10, Run: 056, P, 13, 1260, 0, 0, 0, 0, 5
INVAR-10, Run: 057, P, 14, 1386, 0, 0, 0, 0, 5
INVAR-10, Run: 058, P, 14, 1365, 0, 0, 0, 0, 5
INVAR-10, Run: 059, P, 14, 1352, 0, 0, 0, 0, 5
INVAR-10, Run: 060, P, 14, 1420, 0, 0, 0, 0, 5
INVAR-10, Run: 061, P, 13, 1324, 0, 0, 0, 0, 5
INVAR-10, Run: 062, P, 14, 1384, 0, 0, 0, 0, 5
INVAR-10, Run: 063, P, 14, 1453, 0, 0, 0, 0, 5
INVAR-10, Run: 064, P, 15, 1495, 0, 0, 0, 0, 5
INVAR-10, Run: 065, P, 13, 1339, 0, 0, 0, 0, 5
INVAR-10, Run: 066, P, 13, 1253, 0, 0, 0, 0, 5
INVAR-10, Run: 067, P, 15, 1485, 0, 0, 0, 0, 5
INVAR-10, Run: 068, P, 14, 1378, 0, 0, 0, 0, 5
INVAR-10, Run: 069, P, 14, 1421, 0, 0, 0, 0, 5
INVAR-10, Run: 070, P, 13, 1299, 0, 0, 0, 0, 5
INVAR-10, Run: 071, P, 13, 1389, 0, 0, 0, 0, 5
INVAR-10, Run: 072, P, 13, 1254, 0, 0, 0, 0, 5
INVAR-10, Run: 073, P, 14, 1409, 0, 0, 0, 0, 5
INVAR-10, Run: 074, P, 13, 1346, 0, 0, 0, 0, 5
INVAR-10, Run: 075, P, 13, 1322, 0, 0, 0, 0, 5
INVAR-10, Run: 076, P, 14, 1419, 0, 0, 0, 0, 5
INVAR-10, Run: 077, P, 13, 1269, 0, 0, 0, 0, 5
INVAR-10, Run: 078, P, 13, 1302, 0, 0, 0, 0, 5
INVAR-10, Run: 079, P, 13, 1401, 0, 0, 0, 0, 5
INVAR-10, Run: 080, P, 14, 1377, 0, 0, 0, 0, 5
INVAR-10, Run: 081, P, 13, 1267, 0, 0, 0, 0, 5
INVAR-10, Run: 082, P, 14, 1409, 0, 0, 0, 0, 5
INVAR-10, Run: 083, P, 14, 1354, 0, 0, 0, 0, 5
INVAR-10, Run: 084, P, 13, 1281, 0, 0, 0, 0, 5
INVAR-10, Run: 085, P, 15, 1482, 0, 0, 0, 0, 5
INVAR-10, Run: 086, P, 14, 1372, 0, 0, 0, 0, 5
INVAR-10, Run: 087, P, 14, 1422, 0, 0, 0, 0, 5
INVAR-10, Run: 088, P, 13, 1291, 0, 0, 0, 0, 5
INVAR-10, Run: 089, P, 15, 1472, 0, 0, 0, 0, 5
INVAR-10, Run: 090, P, 13, 1354, 0, 0, 0, 0, 5
INVAR-10, Run: 091, P, 13, 1318, 0, 0, 0, 0, 5
INVAR-10, Run: 092, P, 14, 1401, 0, 0, 0, 0, 5
INVAR-10, Run: 093, P, 13, 1284, 0, 0, 0, 0, 5
INVAR-10, Run: 094, P, 13, 1197, 0, 0, 0, 0, 5
INVAR-10, Run: 095, P, 14, 1465, 0, 0, 0, 0, 5
INVAR-10, Run: 096, P, 14, 1338, 0, 0, 0, 0, 5
INVAR-10, Run: 097, P, 13, 1304, 0, 0, 0, 0, 5
INVAR-10, Run: 098, P, 13, 1393, 0, 0, 0, 0, 5
INVAR-10, Run: 099, P, 13, 1313, 0, 0, 0, 0, 5
INVAR-10, Run: 100, P, 13, 1302, 0, 0, 0, 0, 5
INVAR-11, Run: 001, P, 81, 8155, 0, 0, 0, 0, 5
INVAR-11, Run: 002, P, 81, 8285, 0, 0, 0, 0, 5
INVAR-11, Run: 003, P, 81, 8066, 0, 0, 0, 0, 5
INVAR-11, Run: 004, P, 81, 8168, 0, 0, 0, 0, 5
INVAR-11, Run: 005, P, 81, 8197, 0, 0, 0, 0, 5
INVAR-11, Run: 006, P, 81, 8220, 0, 0, 0, 0, 5
INVAR-11, Run: 007, P, 81, 8225, 0, 0, 0, 0, 5
INVAR-11, Run: 008, P, 81, 8234, 0, 0, 0, 0, 5
INVAR-11, Run: 009, P, 81, 8266, 0, 0, 0, 0, 5
INVAR-11, Run: 010, P, 81, 8189, 0, 0, 0, 0, 5
INVAR-11, Run: 011, P, 82, 8245, 0, 0, 0, 0, 5
INVAR-11, Run: 012, P, 81, 8164, 0, 0, 0, 0, 5
INVAR-11, Run: 013, P, 81, 8301, 0, 0, 0, 0, 5
INVAR-11, Run: 014, P, 81, 8123, 0, 0, 0, 0, 5
INVAR-11, Run: 015, P, 81, 8219, 0, 0, 0, 0, 5
INVAR-11, Run: 016, P, 81, 8213, 0, 0, 0, 0, 5
INVAR-11, Run: 017, P, 81, 8201, 0, 0, 0, 0, 5
INVAR-11, Run: 018, P, 83, 8345, 0, 0, 0, 0, 5
INVAR-11, Run: 019, P, 81, 8155, 0, 0, 0, 0, 5
INVAR-11, Run: 020, P, 81, 8080, 0, 0, 0, 0, 5
INVAR-11, Run: 021, P, 81, 7904, 0, 0, 0, 0, 5
INVAR-11, Run: 022, P, 81, 8123, 0, 0, 0, 0, 5
INVAR-11, Run: 023, P, 82, 8418, 0, 0, 0, 0, 5
INVAR-11, Run: 024, P, 82, 8225, 0, 0, 0, 0, 5
INVAR-11, Run: 025, P, 81, 8214, 0, 0, 0, 0, 5
INVAR-11, Run: 026, P, 81, 8249, 0, 0, 0, 0, 5
INVAR-11, Run: 027, P, 81, 8340, 0, 0, 0, 0, 5
INVAR-11, Run: 028, P, 81, 8279, 0, 0, 0, 0, 5
INVAR-11, Run: 029, P, 81, 8201, 0, 0, 0, 0, 5
INVAR-11, Run: 030, P, 81, 8222, 0, 0, 0, 0, 5
INVAR-11, Run: 031, P, 81, 8208, 0, 0, 0, 0, 5
INVAR-11, Run: 032, P, 81, 8180, 0, 0, 0, 0, 5
INVAR-11, Run: 033, P, 81, 8188, 0, 0, 0, 0, 5
INVAR-11, Run: 034, P, 81, 8178, 0, 0, 0, 0, 5
INVAR-11, Run: 035, P, 81, 8152, 0, 0, 0, 0, 5
INVAR-11, Run: 036, P, 81, 8150, 0, 0, 0, 0, 5
INVAR-11, Run: 037, P, 81, 8218, 0, 0, 0, 0, 5
INVAR-11, Run: 038, P, 81, 8253, 0, 0, 0, 0, 5
INVAR-11, Run: 039, P, 81, 8265, 0, 0, 0, 0, 5
INVAR-11, Run: 040, P, 81, 8302, 0, 0, 0, 0, 5
INVAR-11, Run: 041, P, 81, 8221, 0, 0, 0, 0, 5
INVAR-11, Run: 042, P, 81, 8184, 0, 0, 0, 0, 5
INVAR-11, Run: 043, P, 81, 8168, 0, 0, 0, 0, 5
INVAR-11, Run: 044, P, 81, 8264, 0, 0, 0, 0, 5
INVAR-11, Run: 045, P, 81, 8063, 0, 0, 0, 0, 5
INVAR-11, Run: 046, P, 82, 8404, 0, 0, 0, 0, 5
INVAR-11, Run: 047, P, 81, 8181, 0, 0, 0, 0, 5
INVAR-11, Run: 048, P, 81, 8133, 0, 0, 0, 0, 5
INVAR-11, Run: 049, P, 81, 8289, 0, 0, 0, 0, 5
INVAR-11, Run: 050, P, 81, 8055, 0, 0, 0, 0, 5
INVAR-11, Run: 051, P, 81, 8298, 0, 0, 0, 0, 5
INVAR-11, Run: 052, P, 81, 8165, 0, 0, 0, 0, 5
INVAR-11, Run: 053, P, 81, 8151, 0, 0, 0, 0, 5
INVAR-11, Run: 054, P, 81, 8278, 0, 0, 0, 0, 5
INVAR-11, Run: 055, P, 82, 8263, 0, 0, 0, 0, 5
INVAR-11, Run: 056, P, 81, 8352, 0, 0, 0, 0, 5
INVAR-11, Run: 057, P, 82, 8270, 0, 0, 0, 0, 5
INVAR-11, Run: 058, P, 81, 7948, 0, 0, 0, 0, 5
INVAR-11, Run: 059, P, 81, 8211, 0, 0, 0, 0, 5
INVAR-11, Run: 060, P, 82, 8312, 0, 0, 0, 0, 5
INVAR-11, Run: 061, P, 81, 8071, 0, 0, 0, 0, 5
INVAR-11, Run: 062, P, 81, 8253, 0, 0, 0, 0, 5
INVAR-11, Run: 063, P, 81, 8233, 0, 0, 0, 0, 5
INVAR-11, Run: 064, P, 81, 8163, 0, 0, 0, 0, 5
INVAR-11, Run: 065, P, 81, 8085, 0, 0, 0, 0, 5
INVAR-11, Run: 066, P, 81, 8180, 0, 0, 0, 0, 5
INVAR-11, Run: 067, P, 81, 8136, 0, 0, 0, 0, 5
INVAR-11, Run: 068, P, 82, 8310, 0, 0, 0, 0, 5
INVAR-11, Run: 069, P, 81, 8171, 0, 0, 0, 0, 5
INVAR-11, Run: 070, P, 81, 8180, 0, 0, 0, 0, 5
INVAR-11, Run: 071, P, 81, 8236, 0, 0, 0, 0, 5
INVAR-11, Run: 072, P, 81, 8228, 0, 0, 0, 0, 5
INVAR-11, Run: 073, P, 81, 8120, 0, 0, 0, 0, 5
INVAR-11, Run: 074, P, 81, 8199, 0, 0, 0, 0, 5
INVAR-11, Run: 075, P, 81, 8204, 0, 0, 0, 0, 5
INVAR-11, Run: 076, P, 81, 8123, 0, 0, 0, 0, 5
INVAR-11, Run: 077, P, 81, 8092, 0, 0, 0, 0, 5
INVAR-11, Run: 078, P, 81, 8150, 0, 0, 0, 0, 5
INVAR-11, Run: 079, P, 81, 8073, 0, 0, 0, 0, 5
INVAR-11, Run: 080, P, 82, 8471, 0, 0, 0, 0, 5
INVAR-11, Run: 081, P, 81, 8046, 0, 0, 0, 0, 5
INVAR-11, Run: 082, P, 81, 8363, 0, 0, 0, 0, 5
INVAR-11, Run: 083, P, 82, 8095, 0, 0, 0, 0, 5
INVAR-11, Run: 084, P, 81, 8208, 0, 0, 0, 0, 5
INVAR-11, Run: 085, P, 81, 8287, 0, 0, 0, 0, 5
INVAR-11, Run: 086, P, 81, 8178, 0, 0, 0, 0, 5
INVAR-11, Run: 087, P, 81, 8209, 0, 0, 0, 0, 5
INVAR-11, Run: 088, P, 81, 8195, 0, 0, 0, 0, 5
INVAR-11, Run: 089, P, 81, 8296, 0, 0, 0, 0, 5
INVAR-11, Run: 090, P, 82, 8250, 0, 0, 0, 0, 5
INVAR-11, Run: 091, P, 81, 8156, 0, 0, 0, 0, 5
INVAR-11, Run: 092, P, 81, 8251, 0, 0, 0, 0, 5
INVAR-11, Run: 093, P, 82, 8279, 0, 0, 0, 0, 5
INVAR-11, Run: 094, P, 81, 8145, 0, 0, 0, 0, 5
INVAR-11, Run: 095, P, 81, 8121, 0, 0, 0, 0, 5
INVAR-11, Run: 096, P, 81, 8188, 0, 0, 0, 0, 5
INVAR-11, Run: 097, P, 81, 8189, 0, 0, 0, 0, 5
INVAR-11, Run: 098, P, 81, 8238, 0, 0, 0, 0, 5
INVAR-11, Run: 099, P, 81, 8222, 0, 0, 0, 0, 5
INVAR-11, Run: 100, P, 82, 8148, 0, 0, 0, 0, 5
INVAR-12, Run: 001, P, 157, 15855, 0, 0, 0, 0, 5
INVAR-12, Run: 002, P, 157, 15954, 0, 0, 0, 0, 5
INVAR-12, Run: 003, P, 157, 15806, 0, 0, 0, 0, 5
INVAR-12, Run: 004, P, 157, 15952, 0, 0, 0, 0, 5
INVAR-12, Run: 005, P, 157, 15907, 0, 0, 0, 0, 5
INVAR-12, Run: 006, P, 157, 15895, 0, 0, 0, 0, 5
INVAR-12, Run: 007, P, 157, 16048, 0, 0, 0, 0, 5
INVAR-12, Run: 008, P, 157, 15803, 0, 0, 0, 0, 5
INVAR-12, Run: 009, P, 157, 15826, 0, 0, 0, 0, 5
INVAR-12, Run: 010, P, 158, 16033, 0, 0, 0, 0, 5
