Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-10, Run: 007, P, 0, 8, 4, 2, 1, 5, 3
INVAR-10, Run: 008, P, 12, 0, 0, 5, 7, 0, 2
INVAR-10, Run: 009, P, 0, 8, 4, 2, 0, 5, 2
INVAR-10, Run: 010, P, 12, 0, 0, 5, 5, 0, 0
INVAR-10, Run: 011, P, 0, 7, 5, 2, 0, 4, 3
INVAR-10, Run: 012, P, 0, 6, 6, 1, 0, 2, 5
INVAR-10, Run: 013, P, 0, 7, 5, 3, 3, 5, 5
INVAR-10, Run: 014, P, 12, 0, 0, 8, 8, 3, 0
INVAR-10, Run: 015, P, 0, 6, 6, 4, 4, 5, 6
INVAR-10, Run: 016, P, 12, 0, 0, 10, 20, 5, 10
INVAR-10, Run: 017, P, 0, 8, 4, 5, 6, 8, 5
INVAR-10, Run: 018, P, 0, 6, 6, 4, 1, 5, 3
INVAR-10, Run: 019, P, 0, 7, 5, 2, 1, 4, 4
INVAR-10, Run: 020, P, 0, 8, 4, 3, 4, 6, 5
INVAR-10, Run: 021, P, 0, 7, 5, 2, 1, 4, 4
INVAR-10, Run: 022, P, 0, 7, 5, 3, 4, 5, 6
INVAR-10, Run: 023, P, 0, 10, 2, 1, 0, 6, 1
INVAR-10, Run: 024, P, 0, 9, 3, 6, 11, 10, 8
INVAR-10, Run: 025, P, 12, 0, 0, 6, 9, 1, 3
INVAR-10, Run: 026, P, 0, 6, 6, 1, 1, 2, 6
INVAR-10, Run: 027, P, 12, 0, 0, 5, 7, 0, 2
INVAR-10, Run: 028, P, 0, 9, 3, 1, 0, 5, 2
INVAR-10, Run: 029, P, 12, 0, 0, 8, 11, 3, 3
INVAR-10, Run: 030, P, 0, 7, 5, 3, 2, 5, 4
INVAR-10, Run: 031, P, 0, 8, 4, 1, 2, 4, 5
INVAR-10, Run: 032, P, 0, 7, 5, 2, 1, 4, 4
INVAR-10, Run: 033, P, 0, 8, 4, 2, 1, 5, 3
INVAR-10, Run: 034, P, 0, 6, 6, 1, 0, 2, 5
INVAR-10, Run: 035, P, 0, 9, 3, 1, 0, 5, 2
INVAR-10, Run: 036, P, 0, 8, 4, 0, 0, 3, 4
INVAR-10, Run: 037, P, 0, 4, 8, 6, 3, 5, 5
INVAR-10, Run: 038, P, 0, 4, 8, 2, 0, 1, 6
INVAR-10, Run: 039, P, 0, 5, 7, 4, 3, 4, 6
INVAR-10, Run: 040, P, 0, 6, 6, 6, 4, 7, 4
INVAR-10, Run: 041, P, 0, 5, 7, 10, 14, 10, 11
INVAR-10, Run: 042, P, 0, 6, 6, 9, 11, 10, 8
INVAR-10, Run: 043, P, 0, 6, 6, 12, 18, 13, 12
INVAR-10, Run: 044, P, 0, 5, 7, 6, 9, 6, 10
INVAR-10, Run: 045, P, 12, 0, 0, 10, 22, 5, 12
INVAR-10, Run: 046, P, 0, 8, 4, 2, 1, 5, 3
INVAR-10, Run: 047, P, 0, 7, 5, 4, 4, 6, 5
INVAR-10, Run: 048, P, 12, 0, 0, 8, 10, 3, 2
INVAR-10, Run: 049, P, 12, 0, 0, 6, 8, 1, 2
INVAR-10, Run: 050, P, 0, 6, 6, 5, 6, 6, 7
INVAR-10, Run: 051, P, 0, 5, 7, 4, 2, 4, 5
INVAR-10, Run: 052, P, 0, 6, 6, 9, 11, 10, 8
INVAR-10, Run: 053, P, 0, 4, 8, 4, 1, 3, 5
INVAR-10, Run: 054, P, 0, 7, 5, 1, 0, 3, 4
INVAR-10, Run: 055, P, 0, 3, 9, 7, 3, 5, 5
INVAR-10, Run: 056, P, 0, 7, 5, 2, 0, 4, 3
INVAR-10, Run: 057, P, 12, 0, 0, 6, 7, 1, 1
INVAR-10, Run: 058, P, 0, 5, 7, 7, 4, 7, 4
INVAR-10, Run: 059, P, 0, 4, 8, 7, 7, 6, 8
INVAR-10, Run: 060, P, 0, 4, 8, 7, 5, 6, 6
INVAR-10, Run: 061, P, 0, 9, 3, 2, 0, 6, 1
