Input Number, Run_Number, Result@ 100, Y, X, V
10, Run: 039, P, 0, 0, 11
10, Run: 040, P, 0, 0, 2
10, Run: 041, F, 0, 1, 0
10, Run: 042, P, 0, 0, 8
10, Run: 043, F, 0, 0, 0
10, Run: 044, P, 0, 0, 14
10, Run: 045, F, 0, 1, 0
10, Run: 046, P, 0, 0, 15
10, Run: 047, F, 0, 1, 0
10, Run: 048, P, 0, 0, 22
10, Run: 049, F, 0, 1, 0
10, Run: 050, P, 0, 0, 13
10, Run: 051, P, 0, 0, 19
10, Run: 052, F, 0, 1, 0
10, Run: 053, P, 0, 0, 7
10, Run: 054, F, 0, 1, 0
10, Run: 055, F, 0, 1, 0
10, Run: 056, P, 0, 0, 9
10, Run: 057, P, 0, 0, 22
10, Run: 058, P, 0, 0, 7
10, Run: 059, P, 0, 0, 16
10, Run: 060, P, 0, 0, 2
10, Run: 061, P, 0, 0, 5
10, Run: 062, F, 0, 1, 0
10, Run: 063, F, 0, 1, 0
10, Run: 064, F, 0, 1, 0
10, Run: 065, F, 0, 2, 0
10, Run: 066, F, 0, 1, 0
10, Run: 067, P, 0, 0, 33
10, Run: 068, P, 0, 0, 12
10, Run: 069, P, 0, 0, 8
10, Run: 070, F, 0, 1, 0
10, Run: 071, F, 0, 1, 0
10, Run: 072, F, 0, 2, 0
10, Run: 073, F, 0, 1, 0
10, Run: 074, P, 0, 0, 14
10, Run: 075, F, 0, 2, 0
10, Run: 076, F, 0, 1, 0
10, Run: 077, F, 0, 1, 0
10, Run: 078, F, 0, 1, 0
10, Run: 079, P, 0, 0, 20
10, Run: 080, F, 0, 1, 0
10, Run: 081, P, 0, 0, 8
10, Run: 082, F, 0, 1, 0
10, Run: 083, P, 0, 0, 8
10, Run: 084, P, 0, 0, 5
10, Run: 085, F, 0, 1, 0
10, Run: 086, F, 0, 1, 0
10, Run: 087, F, 0, 1, 0
10, Run: 088, P, 0, 0, 19
10, Run: 089, P, 0, 0, 3
10, Run: 090, P, 0, 0, 1
10, Run: 091, F, 0, 1, 0
10, Run: 092, F, 0, 1, 0
10, Run: 093, P, 0, 0, 16
10, Run: 094, F, 0, 1, 0
10, Run: 095, P, 0, 0, 9
10, Run: 096, P, 0, 0, 1
10, Run: 097, P, 0, 0, 15
10, Run: 098, F, 0, 1, 0
10, Run: 099, F, 0, 1, 0
10, Run: 100, P, 0, 0, 19
11, Run: 001, P, 0, 0, 6
11, Run: 002, F, 0, 1, 0
11, Run: 003, P, 0, 0, 62
11, Run: 004, P, 0, 0, 28
11, Run: 005, F, 0, 1, 0
11, Run: 006, F, 0, 1, 0
11, Run: 007, P, 0, 0, 8
11, Run: 008, F, 0, 1, 0
11, Run: 009, P, 0, 0, 3
11, Run: 010, F, 0, 1, 0
11, Run: 011, P, 0, 0, 4
11, Run: 012, P, 0, 0, 6
11, Run: 013, P, 0, 0, 37
11, Run: 014, P, 0, 0, 1
11, Run: 015, P, 0, 0, 11
11, Run: 016, F, 0, 2, 0
11, Run: 017, F, 0, 1, 0
11, Run: 018, F, 0, 1, 0
11, Run: 019, F, 0, 2, 0
11, Run: 020, F, 0, 1, 0
11, Run: 021, P, 0, 0, 9
11, Run: 022, F, 0, 1, 0
11, Run: 023, F, 0, 1, 0
11, Run: 024, P, 0, 0, 47
11, Run: 025, P, 0, 0, 41
11, Run: 026, F, 0, 2, 0
11, Run: 027, P, 0, 0, 25
11, Run: 028, P, 0, 0, 9
11, Run: 029, F, 0, 2, 0
11, Run: 030, F, 0, 1, 0
11, Run: 031, P, 0, 0, 4
11, Run: 032, F, 0, 1, 0
11, Run: 033, P, 0, 0, 27
11, Run: 034, F, 0, 1, 0
11, Run: 035, F, 0, 1, 0
11, Run: 036, P, 0, 0, 53
11, Run: 037, F, 0, 1, 0
11, Run: 038, F, 0, 1, 0
11, Run: 039, P, 0, 0, 38
11, Run: 040, F, 0, 1, 0
11, Run: 041, P, 0, 0, 19
