Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction8, Reaction9
INVAR-1, Run: 031, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 130, 240, 0, 0, 0, 0, 0, 0, 0, 1104, 0, 0, 0, 0, 0, 0, 693, 470, 340, 411, 223
INVAR-1, Run: 032, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 93, 189, 0, 0, 0, 0, 0, 0, 0, 706, 0, 0, 0, 0, 0, 0, 497, 382, 289, 209, 115
INVAR-1, Run: 033, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 53, 94, 0, 0, 0, 0, 0, 0, 0, 490, 0, 0, 0, 0, 0, 0, 341, 247, 194, 149, 94
INVAR-1, Run: 034, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 57, 171, 0, 0, 0, 0, 0, 0, 0, 516, 0, 0, 0, 0, 0, 0, 402, 328, 271, 114, 74
INVAR-1, Run: 035, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 44, 85, 0, 0, 0, 0, 0, 0, 0, 484, 0, 0, 0, 0, 0, 0, 323, 229, 185, 161, 94
INVAR-1, Run: 036, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 84, 131, 0, 0, 0, 0, 0, 0, 0, 601, 0, 0, 0, 0, 0, 0, 428, 315, 231, 173, 113
INVAR-1, Run: 037, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 88, 131, 0, 0, 0, 0, 0, 0, 0, 720, 0, 0, 0, 0, 0, 0, 456, 319, 231, 264, 137
INVAR-1, Run: 038, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 39, 44, 0, 0, 0, 0, 0, 0, 0, 434, 0, 0, 0, 0, 0, 0, 269, 183, 144, 165, 86
INVAR-1, Run: 039, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 103, 156, 0, 0, 0, 0, 0, 0, 0, 780, 0, 0, 0, 0, 0, 0, 525, 359, 256, 255, 166
INVAR-1, Run: 040, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 60, 69, 0, 0, 0, 0, 0, 0, 0, 618, 0, 0, 0, 0, 0, 0, 370, 229, 169, 248, 141
INVAR-1, Run: 041, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 124, 203, 0, 0, 0, 0, 0, 0, 0, 1020, 0, 0, 0, 0, 0, 0, 636, 427, 303, 384, 209
