Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
INVAR-1, Run: 094, P, 0, 1, 0, 0, 0, 0, 0, 9, 15, 0, 42
INVAR-1, Run: 095, P, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49
INVAR-1, Run: 096, P, 15, 0, 1, 0, 0, 0, 0, 0, 20, 9, 30
INVAR-1, Run: 097, P, 13, 0, 1, 0, 0, 0, 0, 0, 18, 9, 32
INVAR-1, Run: 098, P, 10, 0, 1, 0, 0, 0, 0, 0, 15, 9, 35
INVAR-1, Run: 099, P, 25, 0, 0, 0, 0, 0, 0, 0, 29, 9, 21
INVAR-1, Run: 100, P, 3, 0, 1, 0, 0, 0, 0, 1, 7, 8, 46
INVAR-10, Run: 001, P, 14, 0, 1, 0, 0, 0, 0, 1, 68, 99, 481
INVAR-10, Run: 002, P, 379, 0, 1, 0, 0, 0, 0, 0, 430, 100, 120
INVAR-10, Run: 003, P, 24, 0, 1, 0, 0, 0, 0, 4, 79, 96, 475
INVAR-10, Run: 004, P, 113, 0, 1, 0, 0, 0, 0, 0, 164, 100, 386
INVAR-10, Run: 005, P, 244, 0, 1, 0, 0, 0, 0, 0, 295, 100, 255
INVAR-10, Run: 006, P, 153, 0, 1, 0, 0, 0, 0, 0, 198, 100, 358
INVAR-10, Run: 007, P, 0, 1, 0, 0, 0, 0, 0, 100, 140, 0, 520
INVAR-10, Run: 008, P, 136, 0, 1, 0, 0, 0, 0, 2, 185, 98, 371
INVAR-10, Run: 009, P, 0, 1, 1, 0, 0, 0, 0, 100, 149, 0, 503
INVAR-10, Run: 010, P, 303, 0, 0, 0, 0, 0, 0, 0, 349, 100, 205
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 11, 59, 89, 504
INVAR-10, Run: 012, P, 175, 0, 1, 0, 0, 0, 0, 0, 220, 100, 336
INVAR-10, Run: 013, P, 127, 0, 1, 0, 0, 0, 0, 0, 174, 100, 380
INVAR-10, Run: 014, P, 172, 0, 0, 0, 0, 0, 0, 0, 216, 100, 340
INVAR-10, Run: 015, P, 87, 0, 0, 0, 0, 0, 0, 0, 133, 100, 421
INVAR-10, Run: 016, P, 20, 0, 1, 0, 0, 0, 0, 1, 70, 99, 483
INVAR-10, Run: 017, P, 79, 0, 1, 0, 0, 0, 0, 1, 135, 99, 412
INVAR-10, Run: 018, P, 147, 0, 1, 0, 0, 0, 0, 0, 200, 100, 348
INVAR-10, Run: 019, P, 311, 0, 1, 0, 0, 0, 0, 0, 364, 100, 184
INVAR-10, Run: 020, P, 299, 0, 1, 0, 0, 0, 0, 0, 354, 100, 192
INVAR-10, Run: 021, P, 161, 0, 1, 0, 0, 0, 0, 0, 208, 100, 346
INVAR-10, Run: 022, P, 10, 0, 1, 0, 0, 0, 0, 1, 60, 99, 493
INVAR-10, Run: 023, P, 21, 0, 1, 0, 0, 0, 0, 2, 72, 98, 482
INVAR-10, Run: 024, P, 140, 0, 0, 0, 0, 0, 0, 0, 194, 100, 352
INVAR-10, Run: 025, P, 350, 0, 1, 0, 0, 0, 0, 0, 401, 100, 149
INVAR-10, Run: 026, P, 26, 0, 0, 0, 0, 0, 0, 3, 71, 97, 490
INVAR-10, Run: 027, P, 263, 0, 1, 0, 0, 0, 0, 0, 312, 100, 240
INVAR-10, Run: 028, P, 155, 0, 0, 0, 0, 0, 0, 0, 205, 100, 345
INVAR-10, Run: 029, P, 195, 0, 1, 0, 0, 0, 0, 0, 244, 100, 308
INVAR-10, Run: 030, P, 334, 0, 0, 0, 0, 0, 0, 0, 372, 100, 190
INVAR-10, Run: 031, P, 58, 0, 0, 0, 0, 0, 0, 2, 106, 98, 450
INVAR-10, Run: 032, P, 255, 0, 0, 0, 0, 0, 0, 0, 301, 100, 253
INVAR-10, Run: 033, P, 0, 1, 0, 0, 0, 0, 0, 100, 142, 0, 516
INVAR-10, Run: 034, P, 61, 0, 1, 0, 0, 0, 0, 0, 114, 100, 434
INVAR-10, Run: 035, P, 5, 0, 1, 0, 0, 0, 0, 7, 63, 93, 494
