Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, prey_g616, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 011, P, 1, 1, 0, 1, 1, 1, 0, 0, 2, 1, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 102, 0, 120, 119, 118, 94, 94, 75, 45, 64, 1, 101, 1, 30, 28, 4, 20, 104, 0, 0, 0, 104, 98, 129, 128, 23, 23, 12, 12, 14, 7, 9, 0, 96, 0, 5, 34, 7, 35, 34, 4, 4, 97, 75, 121, 0, 0
INVAR-1, Run: 012, P, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 99, 0, 102, 109, 109, 81, 81, 80, 43, 60, 1, 98, 1, 37, 36, 3, 26, 101, 7, 7, 8, 108, 73, 89, 88, 2, 2, 3, 3, 4, 2, 4, 4, 72, 4, 1, 22, 2, 23, 23, 3, 3, 74, 46, 102, 1, 1
INVAR-1, Run: 013, P, 1, 2, 0, 2, 1, 1, 1, 0, 2, 0, 0, 2, 0, 0, 1, 3, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 112, 11, 95, 98, 97, 97, 96, 97, 62, 71, 1, 110, 1, 35, 34, 4, 23, 94, 11, 11, 17, 108, 91, 104, 100, 29, 29, 37, 37, 36, 16, 15, 9, 89, 9, 11, 37, 20, 37, 37, 4, 4, 94, 69, 86, 6, 6
INVAR-1, Run: 014, P, 1, 2, 0, 0, 0, 1, 1, 0, 3, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 111, 1, 81, 109, 109, 92, 91, 76, 46, 73, 1, 109, 1, 30, 39, 3, 24, 91, 2, 2, 2, 93, 109, 96, 96, 4, 4, 5, 5, 5, 3, 7, 1, 107, 1, 4, 33, 2, 33, 33, 3, 3, 108, 81, 80, 2, 2
INVAR-1, Run: 015, P, 1, 1, 0, 2, 2, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 107, 0, 106, 109, 107, 89, 89, 98, 58, 73, 1, 106, 1, 39, 46, 6, 23, 91, 8, 8, 9, 100, 92, 99, 99, 12, 12, 19, 19, 11, 8, 12, 4, 91, 4, 6, 26, 3, 26, 26, 6, 6, 90, 67, 108, 0, 0
INVAR-1, Run: 016, P, 1, 2, 0, 2, 3, 1, 1, 0, 3, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 5, 0, 1, 90, 8, 123, 104, 101, 103, 102, 97, 59, 45, 1, 88, 1, 38, 24, 5, 15, 97, 0, 0, 0, 96, 78, 80, 79, 11, 11, 6, 6, 11, 6, 10, 0, 77, 0, 5, 15, 5, 21, 16, 5, 5, 59, 41, 117, 5, 5
INVAR-1, Run: 017, P, 1, 3, 0, 1, 0, 1, 1, 1, 1, 0, 0, 4, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 98, 0, 98, 85, 85, 98, 97, 80, 54, 46, 1, 95, 1, 25, 25, 1, 23, 77, 0, 0, 0, 76, 115, 69, 68, 6, 6, 5, 5, 1, 1, 1, 1, 111, 1, 0, 20, 0, 21, 20, 1, 1, 91, 67, 99, 0, 0
INVAR-1, Run: 018, P, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 99, 0, 92, 106, 106, 113, 113, 125, 66, 79, 1, 98, 1, 59, 38, 3, 39, 97, 4, 4, 4, 99, 106, 84, 82, 15, 15, 11, 11, 11, 6, 4, 2, 106, 2, 1, 41, 5, 41, 41, 3, 3, 109, 69, 92, 0, 0
INVAR-1, Run: 019, P, 1, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96, 0, 93, 98, 98, 103, 102, 104, 69, 73, 1, 95, 1, 33, 36, 1, 24, 96, 1, 1, 0, 96, 96, 104, 104, 7, 7, 6, 6, 14, 7, 4, 2, 96, 2, 3, 37, 7, 37, 37, 1, 1, 83, 59, 93, 4, 4
INVAR-1, Run: 020, P, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 122, 0, 103, 102, 102, 102, 102, 94, 55, 109, 1, 121, 1, 38, 51, 2, 36, 77, 0, 0, 0, 77, 119, 105, 105, 9, 9, 9, 9, 11, 7, 3, 4, 118, 4, 1, 57, 4, 58, 57, 2, 2, 137, 101, 103, 0, 0
