Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 077, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0, 104, 18, 10, 99, 9, 6, 2, 9, 122, 183, 19, 99
INVAR-1, Run: 078, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0, 93, 18, 12, 136, 9, 6, 2, 9, 110, 165, 21, 136
INVAR-1, Run: 079, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1, 94, 18, 5, 169, 9, 6, 2, 9, 111, 166, 14, 169
INVAR-1, Run: 080, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 342, 0, 96, 18, 11, 45, 9, 5, 3, 9, 114, 171, 20, 45
INVAR-1, Run: 081, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 402, 0, 116, 18, 19, 184, 9, 6, 2, 9, 134, 201, 28, 184
INVAR-1, Run: 082, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 98, 18, 10, 104, 9, 7, 1, 9, 115, 172, 19, 104
INVAR-1, Run: 083, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 396, 0, 115, 18, 19, 161, 9, 7, 1, 9, 132, 198, 28, 161
INVAR-1, Run: 084, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 390, 0, 112, 18, 15, 150, 9, 4, 4, 9, 130, 195, 24, 150
INVAR-1, Run: 085, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0, 111, 18, 12, 113, 9, 6, 2, 9, 128, 192, 21, 113
INVAR-1, Run: 086, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 342, 0, 96, 18, 20, 124, 9, 7, 1, 9, 114, 171, 29, 124
INVAR-1, Run: 087, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 340, 1, 97, 18, 6, 105, 9, 8, 0, 9, 113, 169, 15, 105
INVAR-1, Run: 088, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 382, 1, 109, 18, 20, 210, 9, 6, 2, 9, 127, 190, 29, 210
INVAR-1, Run: 089, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 340, 1, 97, 18, 13, 96, 9, 8, 0, 9, 113, 169, 22, 96
INVAR-1, Run: 090, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1, 92, 18, 9, 111, 9, 7, 1, 9, 107, 160, 18, 111
