Input Number, Run_Number, Result@ 100, X, Y, Z, XP, YP
14, Run: 021, P, 0, 0, 186, 0, 93
14, Run: 022, P, 0, 0, 164, 0, 71
14, Run: 023, P, 0, 0, 172, 0, 79
14, Run: 024, P, 0, 0, 172, 0, 79
14, Run: 025, P, 0, 0, 168, 0, 75
14, Run: 026, P, 0, 0, 192, 0, 99
14, Run: 027, P, 0, 0, 168, 0, 75
14, Run: 028, P, 0, 0, 174, 0, 81
14, Run: 029, P, 0, 0, 182, 0, 89
14, Run: 030, P, 0, 0, 168, 0, 75
14, Run: 031, P, 0, 0, 188, 0, 95
14, Run: 032, P, 0, 0, 196, 0, 103
14, Run: 033, P, 0, 0, 186, 0, 93
14, Run: 034, P, 0, 0, 166, 0, 73
14, Run: 035, P, 0, 0, 176, 0, 83
14, Run: 036, P, 0, 0, 194, 0, 101
14, Run: 037, P, 0, 0, 168, 0, 75
14, Run: 038, P, 0, 0, 178, 0, 85
14, Run: 039, P, 0, 0, 180, 0, 87
14, Run: 040, P, 0, 0, 178, 0, 85
14, Run: 041, P, 0, 0, 178, 0, 85
14, Run: 042, P, 0, 0, 192, 0, 99
14, Run: 043, P, 0, 0, 190, 0, 97
14, Run: 044, P, 0, 0, 196, 0, 103
14, Run: 045, P, 0, 0, 178, 0, 85
14, Run: 046, P, 0, 0, 178, 0, 85
14, Run: 047, P, 0, 0, 194, 0, 101
14, Run: 048, P, 0, 0, 180, 0, 87
14, Run: 049, P, 0, 0, 180, 0, 87
14, Run: 050, P, 0, 0, 164, 0, 71
14, Run: 051, P, 0, 0, 184, 0, 91
14, Run: 052, P, 0, 0, 186, 0, 93
14, Run: 053, P, 0, 0, 180, 0, 87
14, Run: 054, P, 0, 0, 180, 0, 87
14, Run: 055, P, 0, 0, 176, 0, 83
14, Run: 056, P, 0, 0, 194, 0, 101
