Input Number, Run_Number, Result@ 100, PO, H, PE, X1, M, CE, Y, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 014, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 23, 65, 7, 4, 6, 11, 18, 27, 34, 65
INVAR-1, Run: 015, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 11, 47, 7, 7, 3, 11, 18, 27, 22, 47
INVAR-1, Run: 016, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 29, 110, 6, 7, 4, 12, 18, 27, 41, 110
INVAR-1, Run: 017, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 18, 108, 7, 7, 3, 11, 18, 27, 29, 108
INVAR-1, Run: 018, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 20, 61, 7, 2, 8, 11, 18, 27, 31, 61
INVAR-1, Run: 019, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 19, 75, 8, 5, 4, 10, 18, 27, 29, 75
INVAR-1, Run: 020, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 28, 99, 6, 6, 5, 12, 18, 27, 40, 99
INVAR-1, Run: 021, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 16, 71, 8, 5, 4, 10, 18, 27, 26, 71
INVAR-1, Run: 022, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 10, 34, 7, 4, 6, 11, 18, 27, 21, 34
INVAR-1, Run: 023, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 15, 44, 7, 4, 6, 11, 18, 27, 26, 44
INVAR-1, Run: 024, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 9, 51, 6, 3, 8, 12, 18, 27, 21, 51
INVAR-1, Run: 025, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 29, 252, 6, 6, 5, 12, 18, 27, 41, 252
INVAR-1, Run: 026, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 22, 112, 6, 7, 4, 12, 18, 27, 34, 112
INVAR-1, Run: 027, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 19, 50, 7, 4, 6, 11, 18, 27, 30, 50
INVAR-1, Run: 028, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 19, 74, 7, 6, 4, 11, 18, 27, 30, 74
INVAR-1, Run: 029, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 19, 85, 7, 5, 5, 11, 18, 27, 30, 85
INVAR-1, Run: 030, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 32, 154, 8, 2, 7, 10, 18, 27, 42, 154
INVAR-1, Run: 031, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 28, 123, 6, 6, 5, 12, 18, 27, 40, 123
INVAR-1, Run: 032, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 21, 124, 6, 9, 2, 12, 18, 27, 33, 124
INVAR-1, Run: 033, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 21, 80, 6, 7, 4, 12, 18, 27, 33, 80
INVAR-1, Run: 034, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 19, 66, 8, 6, 3, 10, 18, 27, 29, 66
INVAR-1, Run: 035, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 26, 117, 7, 6, 4, 11, 18, 27, 37, 117
INVAR-1, Run: 036, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 41, 180, 6, 7, 4, 12, 18, 27, 53, 180
