Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B
INVAR-5, Run: 075, F, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1
INVAR-5, Run: 076, F, 0, 50, 0, 0, 0, 0, 117, 30, 117, 0, 1
INVAR-5, Run: 077, F, 0, 6, 0, 0, 0, 0, 165, 32, 165, 0, 1
INVAR-5, Run: 078, F, 0, 12, 0, 0, 0, 0, 159, 32, 159, 0, 1
INVAR-5, Run: 079, F, 0, 17, 0, 0, 0, 0, 156, 33, 156, 0, 1
INVAR-5, Run: 080, F, 0, 173, 0, 0, 0, 33, 33, 0, 0, 1, 1
INVAR-5, Run: 081, F, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1
INVAR-5, Run: 082, F, 0, 8, 0, 0, 0, 0, 159, 30, 159, 0, 1
INVAR-5, Run: 083, F, 0, 2, 0, 0, 0, 0, 171, 33, 171, 0, 1
INVAR-5, Run: 084, F, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1
INVAR-5, Run: 085, F, 0, 81, 0, 0, 0, 0, 88, 31, 88, 0, 1
INVAR-5, Run: 086, F, 0, 149, 0, 0, 0, 1, 23, 31, 22, 0, 1
INVAR-5, Run: 087, F, 0, 2, 0, 0, 0, 0, 169, 32, 169, 0, 1
INVAR-5, Run: 088, F, 0, 25, 0, 0, 0, 0, 146, 32, 146, 0, 1
INVAR-5, Run: 089, F, 0, 129, 0, 0, 0, 0, 36, 29, 36, 0, 1
INVAR-5, Run: 090, F, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1
INVAR-5, Run: 091, F, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1
INVAR-5, Run: 092, F, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1
INVAR-5, Run: 093, F, 0, 38, 0, 0, 0, 0, 131, 31, 131, 0, 1
INVAR-5, Run: 094, F, 0, 177, 0, 0, 0, 35, 35, 0, 0, 1, 1
INVAR-5, Run: 095, F, 0, 152, 0, 0, 0, 1, 20, 31, 19, 0, 1
INVAR-5, Run: 096, F, 0, 123, 0, 0, 0, 0, 46, 31, 46, 0, 1
INVAR-5, Run: 097, F, 0, 41, 0, 0, 0, 0, 136, 35, 136, 0, 1
INVAR-5, Run: 098, F, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1
INVAR-5, Run: 099, F, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1
INVAR-5, Run: 100, F, 0, 71, 0, 0, 0, 0, 100, 32, 100, 0, 1
INVAR-6, Run: 001, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 002, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 003, F, 0, 269, 0, 0, 0, 0, 278, 98, 278, 0, 1
INVAR-6, Run: 004, F, 0, 541, 0, 0, 0, 95, 95, 0, 0, 1, 1
INVAR-6, Run: 005, F, 0, 545, 0, 0, 0, 97, 97, 0, 0, 1, 1
INVAR-6, Run: 006, F, 0, 357, 0, 0, 0, 0, 192, 99, 192, 0, 1
INVAR-6, Run: 007, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 008, F, 0, 547, 0, 0, 0, 98, 98, 0, 0, 1, 1
INVAR-6, Run: 009, F, 0, 545, 0, 0, 0, 97, 97, 0, 0, 1, 1
INVAR-6, Run: 010, F, 0, 26, 0, 0, 0, 0, 513, 94, 513, 0, 1
INVAR-6, Run: 011, F, 0, 68, 0, 0, 0, 0, 467, 92, 467, 0, 1
INVAR-6, Run: 012, F, 0, 549, 0, 0, 0, 99, 99, 0, 0, 1, 1
INVAR-6, Run: 013, F, 0, 545, 0, 0, 0, 97, 97, 0, 0, 1, 1
INVAR-6, Run: 014, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 015, F, 0, 39, 0, 0, 0, 0, 504, 96, 504, 0, 1
INVAR-6, Run: 016, F, 0, 547, 0, 0, 0, 98, 98, 0, 0, 1, 1
INVAR-6, Run: 017, F, 0, 539, 0, 0, 0, 94, 94, 0, 0, 1, 1
INVAR-6, Run: 018, F, 0, 72, 0, 0, 0, 0, 467, 94, 467, 0, 1
INVAR-6, Run: 019, F, 0, 551, 0, 0, 0, 100, 100, 0, 0, 1, 1
INVAR-6, Run: 020, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 021, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 022, F, 0, 185, 0, 0, 0, 0, 366, 100, 366, 0, 1
INVAR-6, Run: 023, F, 0, 171, 0, 0, 0, 0, 370, 95, 370, 0, 1
INVAR-6, Run: 024, F, 0, 94, 0, 0, 0, 0, 451, 97, 451, 0, 1
INVAR-6, Run: 025, F, 0, 192, 0, 0, 0, 0, 351, 96, 351, 0, 1
INVAR-6, Run: 026, F, 0, 362, 0, 0, 0, 0, 179, 95, 179, 0, 1
INVAR-6, Run: 027, F, 0, 210, 0, 0, 0, 0, 335, 97, 335, 0, 1
INVAR-6, Run: 028, F, 0, 422, 0, 0, 0, 0, 133, 102, 133, 0, 1
INVAR-6, Run: 029, F, 0, 62, 0, 0, 0, 0, 475, 93, 475, 0, 1
INVAR-6, Run: 030, F, 0, 236, 0, 0, 0, 0, 307, 96, 307, 0, 1
INVAR-6, Run: 031, F, 0, 213, 0, 0, 0, 0, 324, 93, 324, 0, 1
INVAR-6, Run: 032, F, 0, 105, 0, 0, 0, 0, 438, 96, 438, 0, 1
INVAR-6, Run: 033, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 034, F, 0, 39, 0, 0, 0, 0, 510, 99, 510, 0, 1
INVAR-6, Run: 035, F, 0, 16, 0, 0, 0, 0, 529, 97, 529, 0, 1
INVAR-6, Run: 036, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 037, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 038, F, 0, 384, 0, 0, 0, 0, 163, 98, 163, 0, 1
INVAR-6, Run: 039, F, 0, 129, 0, 0, 0, 0, 410, 94, 410, 0, 1
INVAR-6, Run: 040, F, 0, 541, 0, 0, 0, 95, 95, 0, 0, 1, 1
INVAR-6, Run: 041, F, 0, 159, 0, 0, 0, 0, 380, 94, 380, 0, 1
INVAR-6, Run: 042, F, 0, 539, 0, 0, 0, 94, 94, 0, 0, 1, 1
INVAR-6, Run: 043, F, 0, 457, 0, 0, 0, 0, 82, 94, 82, 0, 1
INVAR-6, Run: 044, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 045, F, 0, 112, 0, 0, 0, 0, 433, 97, 433, 0, 1
INVAR-6, Run: 046, F, 0, 2, 0, 0, 0, 0, 537, 94, 537, 0, 1
INVAR-6, Run: 047, F, 0, 166, 0, 0, 0, 0, 375, 95, 375, 0, 1
