Input Number, Run_Number, Result@ 100, X1uABab, al, LeaderX1, aq, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 1, 0, 9, 0, 0, 14, 4, 16, 5, 3, 1, 17, 1, 0, 5, 0, 7, 1, 1, 1, 0, 9, 0, 0, 9, 1, 10, 2, 1, 0, 0, 16, 0, 1, 0, 2, 1, 1, 17, 1, 0, 22, 5, 7, 24, 8, 1, 1, 1, 1, 1, 4, 1, 20, 0, 28, 1, 0, 0, 0, 0, 0, 0, 0, 6, 8, 2, 10, 2, 0, 4, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 17, 8, 1, 0, 7, 1, 1, 4, 1, 8, 3, 0, 1, 17, 1, 0, 5, 2, 7, 3, 1, 1, 1, 9, 0, 0, 9, 1, 10, 2, 1, 0, 0, 2, 0, 5, 4, 6, 5, 1, 15, 3, 0, 5, 0, 1, 9, 2, 1, 1, 1, 1, 1, 5, 0, 4, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 2, 14, 6, 16, 7, 1, 4, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 0, 1, 8, 1, 0, 2, 0, 5, 2, 1, 1, 14, 2, 0, 0, 0, 3, 1, 1, 1, 0, 8, 0, 0, 20, 7, 21, 8, 1, 0, 0, 22, 0, 2, 0, 3, 1, 1, 15, 1, 0, 5, 3, 8, 7, 9, 1, 1, 1, 1, 1, 4, 0, 24, 0, 25, 2, 1, 0, 0, 0, 0, 0, 0, 4, 19, 2, 22, 3, 0, 4, 0, 0, 21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 14, 7, 2, 0, 9, 0, 0, 0, 0, 3, 1, 4, 1, 17, 1, 0, 4, 3, 6, 4, 1, 1, 0, 9, 0, 0, 11, 4, 12, 5, 1, 0, 0, 6, 0, 4, 0, 5, 1, 1, 16, 2, 0, 8, 1, 2, 11, 3, 1, 1, 1, 1, 1, 5, 0, 11, 0, 19, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 4, 2, 1, 4, 0, 0, 35, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 015, P, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 2, 0, 9, 0, 0, 11, 5, 14, 6, 2, 1, 16, 1, 1, 18, 10, 21, 12, 1, 1, 0, 9, 0, 0, 6, 4, 7, 5, 1, 0, 0, 31, 0, 10, 1, 10, 1, 0, 17, 1, 0, 9, 6, 2, 11, 3, 1, 1, 1, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 016, P, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 8, 1, 0, 12, 2, 14, 3, 0, 1, 17, 1, 0, 30, 5, 32, 6, 1, 1, 0, 9, 0, 0, 0, 1, 1, 2, 1, 0, 0, 13, 0, 21, 12, 21, 12, 0, 16, 0, 2, 9, 4, 1, 12, 4, 1, 1, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 9, 0, 0, 8, 0, 1, 1, 1, 3, 3, 2, 1, 18, 0, 0, 15, 4, 16, 5, 1, 1, 0, 9, 0, 0, 11, 0, 12, 1, 1, 0, 0, 6, 0, 7, 2, 8, 3, 1, 17, 1, 0, 2, 1, 0, 4, 1, 1, 1, 1, 1, 1, 5, 0, 9, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 2, 12, 8, 14, 9, 1, 4, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 018, P, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 7, 1, 0, 1, 1, 3, 2, 1, 1, 15, 2, 0, 7, 1, 10, 2, 1, 1, 0, 7, 1, 0, 10, 1, 12, 2, 1, 1, 0, 0, 0, 55, 8, 56, 9, 1, 14, 2, 1, 21, 0, 4, 25, 6, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 28, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 22, 2, 0, 3, 1, 0, 2, 1, 5, 1, 1, 0
INVAR-1, Run: 019, P, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 8, 1, 0, 9, 0, 0, 1, 1, 3, 2, 2, 1, 16, 2, 0, 7, 2, 10, 3, 1, 1, 0, 8, 0, 1, 13, 5, 15, 7, 1, 0, 0, 1, 0, 6, 0, 7, 1, 1, 17, 0, 1, 33, 0, 8, 35, 10, 1, 1, 1, 1, 1, 4, 0, 4, 0, 32, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 4, 0, 0, 21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 020, P, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 9, 0, 0, 9, 1, 10, 2, 2, 1, 17, 1, 0, 4, 0, 6, 1, 1, 1, 0, 9, 0, 0, 22, 4, 23, 5, 1, 0, 0, 5, 0, 30, 5, 30, 5, 0, 16, 1, 1, 2, 4, 1, 5, 3, 1, 1, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 021, P, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 9, 0, 0, 10, 2, 11, 3, 2, 1, 17, 1, 0, 22, 5, 24, 6, 1, 1, 0, 8, 1, 0, 6, 2, 8, 3, 1, 0, 0, 15, 0, 16, 2, 17, 3, 1, 15, 2, 1, 10, 5, 3, 14, 5, 1, 1, 1, 1, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 022, P, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 9, 0, 0, 17, 6, 19, 7, 0, 1, 15, 3, 0, 16, 2, 20, 3, 1, 1, 0, 9, 0, 0, 3, 0, 4, 1, 1, 0, 0, 4, 0, 34, 9, 34, 9, 0, 17, 1, 0, 21, 1, 11, 23, 12, 1, 1, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 023, P, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 1, 0, 9, 0, 0, 2, 1, 4, 2, 1, 1, 17, 1, 0, 36, 15, 38, 16, 1, 1, 1, 9, 0, 0, 28, 7, 29, 7, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 1, 0, 5, 1, 1, 1, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 024, P, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 1, 0, 8, 1, 0, 9, 2, 12, 3, 2, 1, 17, 1, 0, 47, 7, 49, 8, 1, 1, 1, 9, 0, 0, 6, 2, 7, 3, 1, 0, 0, 11, 0, 3, 1, 4, 1, 0, 17, 1, 0, 6, 3, 0, 8, 1, 1, 1, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 1, 0, 8, 1, 0, 7, 0, 10, 1, 1, 1, 15, 3, 0, 4, 5, 8, 6, 1, 1, 0, 9, 0, 0, 5, 2, 6, 3, 1, 0, 0, 23, 0, 26, 2, 27, 3, 1, 17, 1, 0, 12, 5, 2, 14, 3, 1, 1, 1, 1, 1, 3, 0, 25, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 7, 0, 0, 6, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 17, 6, 3, 0, 8, 0, 1, 17, 4, 22, 6, 1, 1, 15, 2, 1, 10, 4, 14, 6, 1, 1, 0, 9, 0, 0, 30, 6, 31, 7, 1, 0, 0, 3, 0, 13, 3, 14, 4, 1, 16, 2, 0, 11, 1, 3, 14, 4, 1, 1, 1, 1, 1, 6, 0, 5, 0, 27, 2, 0, 0, 0, 0, 0, 0, 0, 2, 11, 2, 14, 3, 1, 3, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 027, P, 0, 0, 0, 54, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 9, 0, 0, 10, 7, 11, 8, 0, 1, 18, 0, 0, 35, 7, 36, 8, 1, 1, 0, 9, 0, 0, 8, 2, 8, 2, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 17, 1, 0, 6, 7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
