Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 048, F, 0, 0, 0, 0, 0, 9, 0, 23, 1, 31, 0, 32, 18, 36, 146, 9, 5, 3, 9, 18, 27, 45, 169
INVAR-1, Run: 049, F, 0, 0, 0, 0, 0, 9, 0, 14, 1, 40, 0, 23, 18, 14, 80, 9, 8, 0, 9, 18, 27, 23, 94
INVAR-1, Run: 050, F, 0, 0, 0, 0, 0, 9, 0, 6, 1, 48, 0, 15, 18, 14, 71, 9, 5, 3, 9, 18, 27, 23, 77
INVAR-1, Run: 051, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0, 17, 18, 27, 208, 9, 6, 2, 9, 18, 27, 36, 216
INVAR-1, Run: 052, F, 0, 0, 0, 0, 0, 9, 0, 9, 1, 45, 0, 18, 18, 15, 109, 9, 3, 5, 9, 18, 27, 24, 118
INVAR-1, Run: 053, F, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 10, 48, 9, 4, 4, 9, 18, 27, 19, 48
INVAR-1, Run: 054, F, 0, 0, 0, 0, 0, 9, 0, 20, 1, 34, 0, 29, 18, 14, 82, 9, 5, 3, 9, 18, 27, 23, 102
INVAR-1, Run: 055, F, 0, 0, 0, 0, 0, 9, 0, 16, 1, 38, 0, 25, 18, 18, 112, 9, 7, 1, 9, 18, 27, 27, 128
INVAR-1, Run: 056, F, 0, 0, 0, 0, 0, 9, 0, 19, 1, 35, 0, 28, 18, 19, 66, 9, 5, 3, 9, 18, 27, 28, 85
INVAR-1, Run: 057, F, 0, 0, 0, 0, 0, 9, 0, 36, 1, 18, 0, 45, 18, 21, 111, 9, 6, 2, 9, 18, 27, 30, 147
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 9, 0, 13, 1, 41, 0, 22, 18, 13, 90, 9, 4, 4, 9, 18, 27, 22, 103
