Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B
2, Run: 056, P, 0, 0, 0, 0, 0, 0, 0, 24, 1, 144, 0
2, Run: 057, P, 0, 0, 0, 0, 0, 0, 0, 58, 1, 110, 0
2, Run: 058, P, 0, 0, 0, 0, 0, 0, 0, 42, 1, 126, 0
2, Run: 059, P, 0, 0, 0, 0, 0, 0, 0, 112, 1, 56, 0
2, Run: 060, P, 0, 0, 0, 0, 0, 0, 0, 47, 1, 121, 0
2, Run: 061, P, 0, 0, 0, 0, 0, 0, 0, 60, 1, 108, 0
2, Run: 062, P, 0, 0, 0, 0, 0, 0, 0, 93, 1, 75, 0
2, Run: 063, P, 0, 0, 0, 0, 0, 0, 0, 40, 1, 128, 0
2, Run: 064, P, 0, 0, 0, 0, 0, 0, 0, 56, 1, 112, 0
2, Run: 065, P, 0, 0, 0, 0, 0, 0, 0, 46, 1, 122, 0
2, Run: 066, P, 0, 0, 0, 0, 0, 0, 0, 37, 1, 131, 0
2, Run: 067, P, 0, 0, 0, 0, 0, 0, 0, 46, 1, 122, 0
2, Run: 068, P, 0, 0, 0, 0, 0, 0, 0, 30, 1, 138, 0
2, Run: 069, P, 0, 0, 0, 0, 0, 0, 0, 37, 1, 131, 0
2, Run: 070, P, 0, 0, 0, 0, 0, 0, 0, 51, 1, 117, 0
2, Run: 071, P, 0, 0, 0, 0, 0, 0, 0, 32, 1, 136, 0
2, Run: 072, P, 0, 0, 0, 0, 0, 0, 0, 32, 1, 136, 0
2, Run: 073, P, 0, 0, 0, 0, 0, 0, 0, 30, 1, 138, 0
2, Run: 074, P, 0, 0, 0, 0, 0, 0, 0, 47, 1, 121, 0
2, Run: 075, P, 0, 0, 0, 0, 0, 0, 0, 23, 1, 145, 0
2, Run: 076, P, 0, 0, 0, 0, 0, 0, 0, 31, 1, 137, 0
2, Run: 077, P, 0, 0, 0, 0, 0, 0, 0, 26, 1, 142, 0
2, Run: 078, P, 0, 0, 0, 0, 0, 0, 0, 31, 1, 137, 0
2, Run: 079, P, 0, 0, 0, 0, 0, 0, 0, 32, 1, 136, 0
2, Run: 080, P, 0, 0, 0, 0, 0, 0, 0, 45, 1, 123, 0
2, Run: 081, P, 0, 0, 0, 0, 0, 0, 0, 32, 1, 136, 0
2, Run: 082, P, 0, 0, 0, 0, 0, 0, 0, 40, 1, 128, 0
2, Run: 083, P, 0, 0, 0, 0, 0, 0, 0, 51, 1, 117, 0
2, Run: 084, P, 0, 0, 0, 0, 0, 0, 0, 34, 1, 134, 0
2, Run: 085, P, 0, 0, 0, 0, 0, 0, 0, 53, 1, 115, 0
2, Run: 086, P, 0, 0, 0, 0, 0, 0, 0, 40, 1, 128, 0
2, Run: 087, P, 0, 0, 0, 0, 0, 0, 0, 35, 1, 133, 0
2, Run: 088, P, 0, 0, 0, 0, 0, 0, 0, 46, 1, 122, 0
2, Run: 089, P, 0, 0, 0, 0, 0, 0, 0, 63, 1, 105, 0
2, Run: 090, P, 0, 0, 0, 0, 0, 0, 0, 121, 1, 47, 0
2, Run: 091, P, 0, 0, 0, 0, 0, 0, 0, 124, 1, 44, 0
2, Run: 092, P, 0, 0, 0, 0, 0, 0, 0, 24, 1, 144, 0
2, Run: 093, P, 0, 0, 0, 0, 0, 0, 0, 45, 1, 123, 0
2, Run: 094, P, 0, 0, 0, 0, 0, 0, 0, 17, 1, 151, 0
2, Run: 095, P, 0, 0, 0, 0, 0, 0, 0, 41, 1, 127, 0
2, Run: 096, P, 0, 0, 0, 0, 0, 0, 0, 36, 1, 132, 0
2, Run: 097, P, 0, 0, 0, 0, 0, 0, 0, 35, 1, 133, 0
2, Run: 098, P, 0, 0, 0, 0, 0, 0, 0, 55, 1, 113, 0
2, Run: 099, P, 0, 0, 0, 0, 0, 0, 0, 42, 1, 126, 0
2, Run: 100, P, 0, 0, 0, 0, 0, 0, 0, 26, 1, 142, 0
3, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 115, 1, 377, 0
3, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 157, 1, 335, 0
3, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 169, 1, 323, 0
3, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 128, 1, 364, 0
3, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 130, 1, 362, 0
3, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 115, 1, 377, 0
3, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 158, 1, 334, 0
3, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 131, 1, 361, 0
3, Run: 009, P, 0, 0, 0, 0, 0, 0, 0, 113, 1, 379, 0
3, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 143, 1, 349, 0
3, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 121, 1, 371, 0
3, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 160, 1, 332, 0
3, Run: 013, P, 0, 0, 0, 0, 0, 0, 0, 116, 1, 376, 0
3, Run: 014, P, 0, 0, 0, 0, 0, 0, 0, 124, 1, 368, 0
3, Run: 015, P, 0, 0, 0, 0, 0, 0, 0, 129, 1, 363, 0
3, Run: 016, P, 0, 0, 0, 0, 0, 0, 0, 116, 1, 376, 0
3, Run: 017, P, 0, 0, 0, 0, 0, 0, 0, 118, 1, 374, 0
3, Run: 018, P, 0, 0, 0, 0, 0, 0, 0, 120, 1, 372, 0
3, Run: 019, P, 0, 0, 0, 0, 0, 0, 0, 100, 1, 392, 0
3, Run: 020, P, 0, 0, 0, 0, 0, 0, 0, 119, 1, 373, 0
3, Run: 021, P, 0, 0, 0, 0, 0, 0, 0, 189, 1, 303, 0
3, Run: 022, P, 0, 0, 0, 0, 0, 0, 0, 115, 1, 377, 0
3, Run: 023, P, 0, 0, 0, 0, 0, 0, 0, 120, 1, 372, 0
3, Run: 024, P, 0, 0, 0, 0, 0, 0, 0, 125, 1, 367, 0
3, Run: 025, P, 0, 0, 0, 0, 0, 0, 0, 130, 1, 362, 0
3, Run: 026, P, 0, 0, 0, 0, 0, 0, 0, 127, 1, 365, 0
3, Run: 027, P, 0, 0, 0, 0, 0, 0, 0, 174, 1, 318, 0
3, Run: 028, P, 0, 0, 0, 0, 0, 0, 0, 133, 1, 359, 0
3, Run: 029, P, 0, 0, 0, 0, 0, 0, 0, 163, 1, 329, 0
3, Run: 030, P, 0, 0, 0, 0, 0, 0, 0, 118, 1, 374, 0
3, Run: 031, P, 0, 0, 0, 0, 0, 0, 0, 154, 1, 338, 0
3, Run: 032, P, 0, 0, 0, 0, 0, 0, 0, 123, 1, 369, 0
3, Run: 033, P, 0, 0, 0, 0, 0, 0, 0, 125, 1, 367, 0
3, Run: 034, P, 0, 0, 0, 0, 0, 0, 0, 105, 1, 387, 0
3, Run: 035, P, 0, 0, 0, 0, 0, 0, 0, 118, 1, 374, 0
3, Run: 036, P, 0, 0, 0, 0, 0, 0, 0, 135, 1, 357, 0
3, Run: 037, P, 0, 0, 0, 0, 0, 0, 0, 124, 1, 368, 0
3, Run: 038, P, 0, 0, 0, 0, 0, 0, 0, 92, 1, 400, 0
3, Run: 039, P, 0, 0, 0, 0, 0, 0, 0, 150, 1, 342, 0
3, Run: 040, P, 0, 0, 0, 0, 0, 0, 0, 201, 1, 291, 0
3, Run: 041, P, 0, 0, 0, 0, 0, 0, 0, 133, 1, 359, 0
3, Run: 042, P, 0, 0, 0, 0, 0, 0, 0, 130, 1, 362, 0
3, Run: 043, P, 0, 0, 0, 0, 0, 0, 0, 137, 1, 355, 0
3, Run: 044, P, 0, 0, 0, 0, 0, 0, 0, 185, 1, 307, 0
3, Run: 045, P, 0, 0, 0, 0, 0, 0, 0, 127, 1, 365, 0
3, Run: 046, P, 0, 0, 0, 0, 0, 0, 0, 97, 1, 395, 0
3, Run: 047, P, 0, 0, 0, 0, 0, 0, 0, 131, 1, 361, 0
3, Run: 048, P, 0, 0, 0, 0, 0, 0, 0, 101, 1, 391, 0
3, Run: 049, P, 0, 0, 0, 0, 0, 0, 0, 125, 1, 367, 0
3, Run: 050, P, 0, 0, 0, 0, 0, 0, 0, 193, 1, 299, 0
3, Run: 051, P, 0, 0, 0, 0, 0, 0, 0, 103, 1, 389, 0
3, Run: 052, P, 0, 0, 0, 0, 0, 0, 0, 124, 1, 368, 0
3, Run: 053, P, 0, 0, 0, 0, 0, 0, 0, 115, 1, 377, 0
3, Run: 054, P, 0, 0, 0, 0, 0, 0, 0, 131, 1, 361, 0
3, Run: 055, P, 0, 0, 0, 0, 0, 0, 0, 129, 1, 363, 0
3, Run: 056, P, 0, 0, 0, 0, 0, 0, 0, 164, 1, 328, 0
3, Run: 057, P, 0, 0, 0, 0, 0, 0, 0, 163, 1, 329, 0
3, Run: 058, P, 0, 0, 0, 0, 0, 0, 0, 174, 1, 318, 0
3, Run: 059, P, 0, 0, 0, 0, 0, 0, 0, 125, 1, 367, 0
3, Run: 060, P, 0, 0, 0, 0, 0, 0, 0, 90, 1, 402, 0
3, Run: 061, P, 0, 0, 0, 0, 0, 0, 0, 92, 1, 400, 0
3, Run: 062, P, 0, 0, 0, 0, 0, 0, 0, 93, 1, 399, 0
3, Run: 063, P, 0, 0, 0, 0, 0, 0, 0, 327, 1, 165, 0
3, Run: 064, P, 0, 0, 0, 0, 0, 0, 0, 125, 1, 367, 0
3, Run: 065, P, 0, 0, 0, 0, 0, 0, 0, 113, 1, 379, 0
3, Run: 066, P, 0, 0, 0, 0, 0, 0, 0, 99, 1, 393, 0
3, Run: 067, P, 0, 0, 0, 0, 0, 0, 0, 102, 1, 390, 0
3, Run: 068, P, 0, 0, 0, 0, 0, 0, 0, 131, 1, 361, 0
3, Run: 069, P, 0, 0, 0, 0, 0, 0, 0, 115, 1, 377, 0
3, Run: 070, P, 0, 0, 0, 0, 0, 0, 0, 229, 1, 263, 0
3, Run: 071, P, 0, 0, 0, 0, 0, 0, 0, 122, 1, 370, 0
3, Run: 072, P, 0, 0, 0, 0, 0, 0, 0, 116, 1, 376, 0
