Input Number, Run_Number, Result@ 100, predator_g494, prey_mrna595, prey_H1, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 055, F, 0, 0, 0, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 4, 1, 107, 122, 119, 93, 92, 69, 39, 5, 1, 4, 1, 30, 5, 20, 1, 88, 0, 0, 0, 87, 6, 87, 87, 96, 95, 88, 86, 90, 53, 41, 0, 6, 0, 21, 1, 37, 0, 0, 20, 20, 9, 8, 107, 2, 2
INVAR-1, Run: 056, F, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 2, 1, 0, 0, 0, 1, 1, 2, 0, 103, 115, 114, 117, 116, 127, 84, 3, 0, 2, 0, 43, 3, 36, 4, 94, 0, 0, 0, 91, 7, 93, 92, 110, 109, 89, 87, 108, 52, 67, 0, 7, 0, 30, 1, 55, 0, 0, 37, 37, 4, 0, 103, 0, 0
INVAR-1, Run: 057, F, 0, 2, 0, 0, 0, 2, 2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 1, 1, 8, 0, 107, 97, 95, 103, 102, 95, 61, 1, 0, 8, 0, 34, 1, 38, 3, 110, 0, 0, 0, 107, 8, 105, 105, 99, 98, 101, 99, 108, 65, 77, 0, 8, 0, 37, 1, 43, 0, 0, 40, 39, 6, 3, 109, 0, 0
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 2, 2, 0, 2, 1, 1, 7, 0, 105, 95, 93, 103, 102, 106, 66, 4, 0, 7, 0, 40, 2, 19, 0, 99, 2, 2, 3, 101, 6, 116, 115, 104, 103, 114, 113, 103, 58, 45, 3, 6, 3, 22, 3, 43, 2, 2, 21, 19, 6, 6, 106, 0, 0
INVAR-1, Run: 059, F, 0, 1, 0, 0, 0, 2, 0, 1, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 110, 102, 102, 92, 89, 102, 62, 0, 0, 1, 0, 39, 0, 41, 0, 92, 0, 0, 0, 90, 2, 88, 88, 110, 110, 105, 104, 120, 82, 64, 1, 2, 1, 23, 1, 38, 0, 0, 41, 41, 0, 0, 112, 0, 0
INVAR-1, Run: 060, F, 0, 2, 0, 0, 0, 0, 1, 1, 5, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 1, 4, 6, 0, 1, 0, 1, 1, 1, 1, 0, 95, 114, 113, 111, 106, 86, 44, 0, 0, 1, 0, 41, 0, 57, 0, 106, 0, 0, 0, 103, 1, 99, 98, 123, 119, 129, 123, 146, 88, 122, 0, 1, 0, 61, 1, 58, 0, 0, 60, 59, 0, 0, 95, 0, 0
INVAR-1, Run: 061, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 3, 1, 1, 0, 0, 1, 1, 0, 0, 108, 116, 116, 93, 93, 106, 68, 0, 0, 0, 0, 37, 0, 34, 0, 108, 0, 0, 0, 106, 0, 109, 107, 103, 102, 96, 93, 102, 61, 73, 0, 0, 0, 38, 1, 40, 0, 0, 34, 34, 0, 0, 108, 0, 0
INVAR-1, Run: 062, F, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 101, 83, 81, 107, 107, 85, 58, 1, 0, 1, 0, 27, 1, 33, 0, 94, 0, 0, 0, 93, 0, 108, 108, 110, 110, 107, 105, 114, 63, 73, 0, 0, 0, 40, 1, 51, 0, 0, 33, 33, 1, 1, 102, 0, 0
INVAR-1, Run: 063, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 86, 104, 104, 94, 94, 75, 49, 0, 0, 0, 0, 26, 0, 40, 0, 96, 0, 0, 0, 94, 0, 112, 110, 110, 109, 84, 84, 86, 54, 86, 0, 0, 0, 44, 1, 32, 0, 0, 41, 40, 0, 0, 86, 0, 0
INVAR-1, Run: 064, F, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 1, 1, 0, 109, 97, 97, 115, 115, 96, 65, 0, 0, 1, 0, 31, 0, 28, 0, 79, 0, 0, 0, 78, 0, 77, 77, 96, 94, 82, 82, 98, 66, 57, 0, 0, 0, 27, 1, 32, 0, 0, 28, 28, 0, 0, 110, 0, 0
INVAR-1, Run: 065, F, 0, 0, 0, 0, 0, 0, 0, 1, 4, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 1, 1, 5, 0, 100, 83, 83, 107, 103, 106, 72, 0, 0, 5, 0, 32, 0, 17, 0, 97, 0, 0, 0, 96, 4, 88, 88, 88, 88, 82, 79, 61, 45, 30, 2, 4, 2, 13, 1, 16, 0, 0, 17, 17, 2, 2, 100, 0, 0
INVAR-1, Run: 066, F, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 119, 138, 137, 102, 101, 77, 36, 0, 0, 1, 0, 40, 0, 33, 0, 103, 1, 1, 0, 102, 1, 122, 122, 96, 95, 112, 111, 117, 66, 59, 2, 1, 2, 26, 1, 51, 0, 0, 33, 33, 0, 0, 119, 0, 0
INVAR-1, Run: 067, F, 0, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 4, 1, 2, 0, 1, 2, 0, 0, 1, 1, 3, 0, 108, 128, 127, 103, 100, 96, 51, 0, 0, 3, 0, 45, 0, 42, 0, 98, 0, 0, 0, 94, 3, 127, 123, 106, 104, 105, 105, 130, 69, 88, 0, 3, 0, 43, 1, 60, 0, 0, 43, 43, 0, 0, 108, 0, 0
INVAR-1, Run: 068, F, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 104, 96, 96, 104, 101, 112, 73, 0, 0, 1, 0, 37, 0, 16, 0, 112, 0, 0, 0, 111, 1, 128, 128, 84, 84, 78, 78, 76, 40, 35, 0, 1, 0, 19, 1, 35, 0, 0, 16, 16, 0, 0, 104, 0, 0
INVAR-1, Run: 069, F, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 5, 0, 108, 109, 108, 110, 110, 86, 51, 1, 0, 5, 0, 35, 0, 37, 0, 111, 0, 0, 0, 110, 0, 111, 111, 110, 108, 103, 103, 143, 79, 71, 0, 0, 0, 33, 2, 63, 1, 1, 37, 37, 2, 2, 110, 0, 0
INVAR-1, Run: 070, F, 0, 0, 0, 0, 0, 4, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 5, 1, 0, 3, 1, 1, 4, 0, 79, 74, 74, 98, 96, 88, 62, 5, 0, 4, 0, 26, 2, 28, 0, 94, 0, 0, 0, 93, 6, 117, 117, 100, 98, 118, 116, 103, 59, 69, 0, 6, 0, 37, 4, 39, 3, 3, 31, 28, 4, 4, 83, 0, 0
INVAR-1, Run: 071, F, 0, 3, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 78, 64, 63, 101, 100, 94, 62, 0, 0, 1, 0, 32, 0, 44, 0, 106, 0, 0, 0, 102, 1, 106, 102, 133, 132, 116, 116, 124, 71, 82, 0, 1, 0, 38, 1, 53, 0, 0, 44, 44, 0, 0, 80, 0, 0
INVAR-1, Run: 072, F, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 1, 1, 5, 0, 86, 100, 98, 118, 117, 136, 80, 2, 0, 5, 0, 56, 0, 43, 0, 96, 3, 3, 0, 94, 1, 99, 98, 99, 98, 117, 117, 104, 56, 92, 2, 1, 2, 47, 3, 47, 2, 2, 45, 43, 1, 1, 87, 0, 0
INVAR-1, Run: 073, F, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 1, 1, 1, 0, 91, 87, 86, 111, 110, 133, 85, 0, 0, 1, 0, 48, 0, 37, 1, 77, 0, 0, 0, 75, 0, 61, 61, 108, 107, 107, 105, 111, 90, 76, 0, 0, 0, 38, 1, 20, 0, 0, 38, 37, 1, 0, 92, 0, 0
INVAR-1, Run: 074, F, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 104, 89, 88, 109, 109, 133, 89, 0, 0, 0, 0, 44, 0, 41, 0, 79, 0, 0, 0, 78, 0, 71, 71, 102, 100, 100, 100, 110, 72, 79, 0, 0, 0, 38, 1, 38, 0, 0, 41, 41, 0, 0, 106, 0, 0
INVAR-1, Run: 075, F, 0, 3, 0, 0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 3, 0, 98, 82, 79, 107, 107, 122, 84, 0, 0, 3, 0, 38, 0, 23, 0, 87, 2, 2, 6, 89, 1, 85, 83, 85, 84, 77, 77, 95, 57, 55, 4, 1, 4, 32, 1, 38, 0, 0, 23, 23, 3, 3, 100, 0, 0
INVAR-1, Run: 076, F, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 87, 112, 112, 73, 72, 92, 51, 8, 0, 2, 0, 41, 4, 23, 1, 111, 6, 6, 10, 120, 3, 97, 97, 118, 118, 121, 121, 118, 73, 52, 2, 3, 2, 29, 5, 45, 4, 4, 23, 23, 8, 7, 87, 0, 0
INVAR-1, Run: 077, F, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 6, 0, 116, 95, 94, 113, 112, 115, 62, 17, 0, 6, 0, 53, 12, 28, 1, 90, 6, 6, 10, 98, 3, 71, 70, 88, 87, 81, 80, 61, 44, 50, 2, 3, 2, 20, 6, 16, 5, 5, 29, 28, 9, 8, 116, 0, 0
INVAR-1, Run: 078, F, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 0, 1, 1, 3, 0, 91, 82, 81, 109, 109, 103, 75, 1, 0, 3, 0, 28, 1, 36, 2, 100, 0, 0, 0, 98, 2, 87, 86, 97, 96, 110, 108, 107, 68, 81, 0, 2, 0, 44, 1, 39, 0, 0, 36, 36, 3, 1, 93, 0, 0
INVAR-1, Run: 079, F, 0, 1, 0, 0, 0, 1, 6, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 3, 3, 0, 0, 0, 1, 1, 3, 0, 106, 150, 144, 96, 95, 82, 38, 0, 0, 3, 0, 44, 0, 21, 0, 110, 0, 0, 0, 108, 0, 121, 120, 82, 80, 99, 96, 82, 52, 55, 0, 0, 0, 34, 1, 27, 0, 0, 21, 21, 2, 2, 107, 0, 0
INVAR-1, Run: 080, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 2, 5, 3, 2, 0, 0, 1, 1, 11, 2, 89, 93, 93, 94, 94, 79, 51, 9, 1, 11, 1, 27, 4, 25, 5, 91, 2, 2, 6, 95, 8, 65, 64, 85, 83, 77, 72, 79, 55, 49, 3, 8, 3, 21, 6, 21, 5, 5, 26, 26, 10, 5, 87, 3, 3
INVAR-1, Run: 081, F, 0, 2, 0, 0, 0, 1, 1, 1, 3, 7, 0, 0, 2, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 7, 0, 111, 104, 103, 99, 96, 104, 60, 5, 0, 7, 0, 37, 1, 19, 2, 104, 0, 0, 0, 101, 7, 77, 75, 105, 105, 96, 96, 96, 57, 42, 2, 7, 2, 21, 5, 39, 4, 4, 21, 21, 7, 5, 112, 0, 0
INVAR-1, Run: 082, F, 0, 1, 0, 0, 0, 2, 3, 1, 5, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 2, 2, 0, 0, 0, 1, 1, 1, 0, 104, 108, 105, 117, 112, 121, 64, 3, 0, 1, 0, 54, 0, 26, 1, 100, 2, 2, 1, 99, 1, 79, 79, 98, 95, 109, 107, 82, 56, 58, 1, 1, 1, 32, 4, 24, 3, 3, 26, 26, 2, 1, 106, 0, 0
INVAR-1, Run: 083, F, 0, 0, 0, 0, 0, 2, 2, 1, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 93, 97, 95, 97, 96, 97, 64, 2, 0, 2, 0, 30, 2, 18, 4, 93, 0, 0, 0, 92, 6, 105, 104, 87, 87, 88, 88, 78, 42, 37, 0, 6, 0, 19, 1, 36, 0, 0, 18, 18, 7, 3, 95, 0, 0
INVAR-1, Run: 084, F, 0, 0, 0, 0, 0, 3, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 96, 115, 115, 97, 96, 94, 58, 1, 0, 1, 0, 34, 1, 30, 0, 104, 0, 0, 0, 103, 0, 83, 82, 89, 89, 85, 85, 84, 58, 59, 0, 0, 0, 29, 1, 26, 0, 0, 30, 30, 1, 1, 99, 0, 0
INVAR-1, Run: 085, F, 0, 0, 0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 2, 0, 0, 0, 0, 1, 1, 0, 0, 89, 84, 84, 98, 96, 116, 81, 0, 0, 0, 0, 33, 0, 20, 0, 91, 9, 9, 9, 99, 0, 105, 105, 108, 105, 122, 120, 90, 51, 47, 5, 0, 5, 27, 1, 39, 0, 0, 20, 20, 0, 0, 91, 0, 0
INVAR-1, Run: 086, F, 0, 2, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 105, 106, 106, 96, 96, 92, 66, 3, 0, 2, 0, 26, 2, 34, 0, 91, 3, 3, 8, 96, 2, 118, 116, 111, 111, 89, 89, 129, 76, 61, 3, 2, 3, 26, 2, 53, 1, 1, 34, 34, 2, 2, 109, 0, 0
INVAR-1, Run: 087, F, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 0, 0, 1, 1, 1, 3, 0, 103, 140, 139, 103, 102, 85, 40, 0, 0, 3, 0, 44, 0, 27, 0, 108, 0, 0, 0, 107, 2, 113, 113, 94, 92, 75, 74, 94, 50, 54, 0, 2, 0, 26, 1, 42, 0, 0, 28, 27, 0, 0, 105, 0, 0
INVAR-1, Run: 088, F, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 3, 1, 0, 0, 1, 1, 0, 0, 117, 88, 87, 92, 92, 99, 70, 0, 0, 0, 0, 29, 0, 39, 0, 97, 0, 0, 0, 96, 0, 113, 113, 99, 98, 132, 131, 110, 66, 76, 0, 0, 0, 36, 1, 41, 0, 0, 39, 39, 0, 0, 118, 0, 0
INVAR-1, Run: 089, F, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 3, 2, 0, 0, 0, 1, 1, 2, 0, 101, 90, 89, 103, 103, 106, 75, 0, 0, 2, 0, 31, 0, 23, 0, 86, 0, 0, 0, 85, 0, 89, 89, 109, 106, 86, 83, 100, 56, 52, 0, 0, 0, 29, 1, 42, 0, 0, 23, 23, 1, 1, 102, 0, 0
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 5, 2, 91, 104, 103, 111, 110, 98, 57, 5, 1, 5, 1, 40, 3, 31, 2, 83, 3, 3, 2, 84, 9, 71, 70, 96, 96, 91, 91, 103, 72, 62, 2, 9, 2, 31, 3, 31, 2, 2, 31, 31, 5, 3, 91, 2, 2
INVAR-1, Run: 091, F, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 4, 0, 91, 83, 83, 137, 135, 135, 97, 6, 0, 4, 0, 38, 5, 34, 1, 98, 1, 1, 0, 95, 7, 103, 102, 110, 110, 127, 127, 119, 77, 84, 3, 7, 3, 50, 2, 42, 1, 1, 34, 34, 8, 7, 91, 0, 0
INVAR-1, Run: 092, F, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 0, 2, 0, 0, 1, 1, 1, 0, 112, 96, 96, 90, 89, 62, 41, 0, 0, 1, 0, 21, 0, 35, 0, 104, 0, 0, 0, 102, 0, 105, 102, 103, 102, 92, 92, 107, 63, 59, 0, 0, 0, 22, 1, 44, 0, 0, 35, 35, 0, 0, 112, 0, 0
INVAR-1, Run: 093, F, 0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 1, 1, 3, 0, 101, 95, 95, 97, 95, 101, 67, 5, 0, 3, 0, 31, 2, 40, 1, 90, 0, 0, 0, 89, 6, 74, 74, 99, 99, 105, 102, 128, 85, 89, 0, 6, 0, 49, 4, 43, 3, 3, 40, 40, 4, 3, 102, 0, 0
INVAR-1, Run: 094, F, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 103, 129, 129, 119, 116, 101, 60, 0, 0, 0, 0, 41, 0, 33, 0, 100, 0, 0, 0, 98, 0, 111, 111, 98, 98, 107, 107, 93, 53, 62, 0, 0, 0, 29, 1, 40, 0, 0, 33, 33, 0, 0, 103, 0, 0
INVAR-1, Run: 095, F, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 98, 108, 106, 96, 96, 92, 66, 2, 0, 2, 0, 26, 1, 21, 0, 92, 2, 2, 1, 92, 1, 105, 105, 100, 100, 81, 81, 68, 43, 43, 2, 1, 2, 22, 2, 25, 1, 1, 21, 21, 2, 2, 99, 0, 0
INVAR-1, Run: 096, F, 0, 1, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 2, 0, 103, 104, 103, 95, 94, 97, 66, 0, 0, 2, 0, 31, 0, 32, 0, 85, 0, 0, 0, 83, 0, 69, 69, 100, 100, 95, 94, 103, 66, 78, 0, 0, 0, 44, 1, 37, 0, 0, 33, 32, 0, 0, 105, 0, 0
INVAR-1, Run: 097, F, 0, 2, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 1, 7, 0, 98, 125, 124, 94, 94, 89, 53, 6, 0, 7, 0, 35, 2, 32, 4, 94, 2, 2, 1, 92, 7, 97, 97, 97, 95, 93, 93, 114, 77, 54, 4, 7, 4, 22, 5, 37, 4, 4, 32, 32, 9, 5, 99, 0, 0
INVAR-1, Run: 098, F, 0, 3, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0, 1, 1, 1, 0, 84, 101, 101, 87, 87, 85, 47, 0, 0, 1, 0, 37, 0, 23, 0, 86, 1, 1, 0, 82, 1, 107, 105, 93, 92, 103, 101, 92, 48, 48, 1, 1, 1, 25, 1, 44, 0, 0, 23, 23, 2, 2, 85, 0, 0
INVAR-1, Run: 099, F, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 91, 79, 79, 108, 108, 106, 73, 0, 0, 2, 0, 33, 0, 33, 0, 101, 0, 0, 0, 99, 1, 95, 95, 90, 90, 74, 74, 111, 71, 63, 0, 1, 0, 30, 1, 40, 0, 0, 33, 33, 0, 0, 93, 0, 0
INVAR-1, Run: 100, F, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 99, 119, 119, 105, 103, 88, 53, 3, 0, 2, 0, 35, 1, 48, 0, 96, 2, 2, 3, 96, 2, 113, 113, 95, 95, 117, 117, 118, 72, 81, 5, 2, 5, 33, 3, 46, 2, 2, 48, 48, 1, 1, 99, 0, 0
