Input Number, Run_Number, Result@ 100, ANuAOX1, ar, AGuAIX1, Leaderap, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, X1uABab, an, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 0, 0, 0, 0, 17, 9, 0, 0, 9, 0, 0, 4, 1, 5, 2, 1, 1, 17, 0, 0, 4, 0, 5, 1, 1, 1, 0, 8, 0, 0, 14, 5, 15, 6, 1, 1, 0, 14, 0, 1, 0, 2, 1, 1, 16, 1, 0, 11, 0, 1, 13, 2, 1, 1, 1, 1, 1, 5, 0, 16, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 1, 11, 4, 13, 5, 1, 3, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 1, 0, 0, 0, 0, 194, 97, 3, 0, 98, 2, 0, 52, 8, 58, 9, 6, 1, 198, 1, 0, 1, 1, 3, 2, 1, 1, 0, 99, 0, 0, 10, 3, 11, 4, 1, 1, 0, 8, 0, 18, 2, 19, 3, 1, 198, 1, 0, 0, 1, 0, 2, 1, 1, 1, 1, 1, 1, 44, 0, 15, 0, 290, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 7, 1, 1, 55, 0, 0, 306, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 557, 0, 0, 0, 0, 0, 0, 0, 194, 100, 0, 0, 96, 3, 0, 14, 0, 18, 1, 5, 1, 197, 2, 0, 38, 11, 41, 12, 1, 1, 0, 99, 0, 0, 3, 1, 4, 2, 1, 0, 1, 0, 0, 18, 2, 20, 3, 1, 198, 1, 0, 8, 0, 0, 10, 1, 1, 1, 1, 1, 1, 0, 0, 6, 0, 0, 0, 0, 275, 0, 0, 43, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 282, 0, 0, 46, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 003, P, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 99, 0, 0, 0, 0, 1, 597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 98, 1, 0, 98, 1, 0, 1, 0, 4, 1, 5, 1, 196, 3, 0, 48, 12, 52, 13, 1, 1, 1, 99, 0, 0, 1, 1, 2, 2, 1, 0, 1, 2, 0, 2, 1, 4, 2, 1, 196, 2, 1, 5, 0, 2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 004, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 100, 0, 0, 0, 0, 0, 600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 98, 2, 0, 99, 0, 1, 21, 4, 25, 6, 1, 1, 196, 4, 0, 41, 14, 46, 15, 1, 1, 0, 100, 0, 0, 1, 0, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 199, 1, 0, 3, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 005, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 1, 600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 99, 1, 0, 98, 2, 0, 3, 0, 7, 1, 2, 1, 195, 5, 0, 2, 0, 8, 1, 1, 1, 1, 99, 0, 0, 0, 0, 1, 1, 1, 1, 1, 36, 0, 5, 0, 7, 1, 1, 197, 3, 0, 18, 4, 7, 22, 7, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 99, 0, 0, 0, 0, 0, 0, 0, 194, 96, 4, 0, 99, 1, 0, 4, 0, 10, 1, 6, 1, 197, 3, 0, 21, 5, 25, 6, 1, 1, 0, 99, 0, 1, 19, 2, 21, 4, 1, 0, 0, 13, 0, 1, 0, 2, 1, 1, 197, 3, 0, 7, 3, 6, 11, 7, 1, 1, 1, 1, 1, 57, 0, 20, 0, 311, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 42, 0, 0, 279, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 100, 0, 0, 0, 1, 0, 601, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 97, 3, 0, 98, 2, 0, 2, 0, 8, 1, 3, 1, 195, 5, 0, 20, 1, 26, 2, 1, 1, 1, 100, 0, 0, 26, 12, 27, 13, 1, 0, 0, 10, 0, 4, 1, 5, 2, 0, 197, 3, 0, 14, 2, 5, 18, 6, 1, 1, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 0, 0, 0, 196, 99, 1, 0, 100, 0, 0, 4, 0, 6, 1, 4, 1, 194, 4, 2, 25, 5, 32, 8, 1, 1, 0, 100, 0, 0, 0, 0, 1, 1, 1, 0, 0, 4, 0, 0, 0, 1, 1, 1, 192, 8, 0, 7, 2, 2, 16, 3, 1, 1, 1, 1, 1, 58, 0, 9, 0, 294, 2, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 7, 1, 1, 42, 0, 0, 305, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 98, 0, 0, 0, 0, 0, 0, 0, 196, 99, 1, 0, 97, 3, 0, 0, 0, 5, 1, 4, 1, 196, 4, 0, 42, 12, 47, 13, 1, 1, 0, 100, 0, 0, 2, 0, 3, 1, 1, 0, 0, 8, 0, 7, 6, 8, 7, 1, 197, 3, 0, 14, 0, 3, 18, 4, 1, 1, 1, 1, 1, 50, 1, 13, 0, 290, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 47, 0, 0, 299, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 100, 0, 1, 0, 0, 0, 601, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 99, 1, 0, 97, 3, 0, 46, 8, 51, 9, 6, 1, 195, 5, 0, 2, 0, 8, 1, 1, 1, 0, 99, 1, 0, 6, 3, 8, 4, 1, 0, 0, 0, 0, 52, 8, 52, 8, 0, 196, 4, 0, 23, 0, 6, 28, 7, 1, 1, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 0, 0, 0, 198, 98, 2, 0, 98, 2, 0, 10, 1, 15, 2, 2, 1, 194, 6, 0, 3, 3, 10, 4, 1, 1, 0, 100, 0, 0, 15, 8, 16, 9, 1, 0, 0, 2, 0, 17, 2, 18, 3, 1, 197, 3, 0, 8, 1, 2, 12, 3, 1, 1, 1, 1, 1, 50, 1, 5, 0, 279, 2, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 10, 1, 1, 49, 0, 0, 320, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 601, 0, 0, 0, 1, 0, 0, 0, 196, 99, 1, 0, 98, 1, 0, 3, 0, 6, 1, 4, 1, 198, 2, 0, 16, 3, 19, 4, 1, 1, 0, 99, 1, 0, 12, 5, 14, 6, 1, 0, 0, 2, 0, 21, 3, 22, 4, 1, 196, 4, 0, 7, 1, 2, 12, 3, 1, 1, 1, 1, 1, 0, 0, 7, 0, 0, 0, 0, 278, 0, 0, 47, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 321, 2, 0, 52, 1, 0, 2, 0, 6, 1, 0, 0
INVAR-10, Run: 013, P, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 0, 0, 198, 98, 1, 1, 96, 2, 1, 22, 4, 28, 7, 1, 1, 195, 4, 0, 6, 3, 11, 4, 1, 1, 0, 99, 0, 0, 8, 1, 9, 2, 1, 1, 0, 1, 0, 15, 3, 16, 4, 1, 197, 2, 0, 37, 1, 13, 40, 14, 1, 1, 1, 1, 1, 0, 0, 3, 0, 0, 0, 0, 344, 0, 0, 58, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 253, 1, 0, 40, 1, 0, 5, 0, 8, 1, 1, 1
INVAR-10, Run: 014, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 71, 0, 0, 0, 0, 1, 1, 1, 0, 100, 0, 0, 0, 0, 0, 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 98, 2, 0, 96, 4, 0, 2, 0, 9, 1, 1, 1, 196, 4, 0, 58, 14, 63, 15, 1, 1, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 1, 0, 0, 0, 0, 198, 99, 0, 0, 98, 1, 0, 11, 1, 13, 2, 0, 1, 196, 2, 0, 9, 0, 12, 1, 1, 1, 0, 99, 0, 0, 16, 2, 17, 3, 1, 0, 0, 0, 0, 35, 5, 36, 6, 1, 197, 1, 0, 6, 0, 2, 8, 3, 1, 1, 1, 1, 1, 51, 1, 1, 0, 289, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 8, 1, 1, 47, 0, 0, 306, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 016, P, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 196, 98, 1, 0, 98, 1, 0, 0, 0, 3, 1, 4, 1, 199, 1, 0, 4, 0, 6, 1, 1, 1, 0, 100, 0, 0, 0, 0, 1, 1, 1, 0, 0, 3, 0, 2, 0, 3, 1, 1, 194, 5, 1, 29, 0, 9, 36, 11, 1, 1, 1, 1, 1, 48, 0, 8, 0, 294, 4, 0, 0, 0, 0, 0, 0, 0, 1, 14, 1, 19, 1, 0, 52, 0, 0, 303, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 017, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 100, 0, 0, 0, 0, 0, 600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 99, 1, 0, 95, 5, 0, 10, 2, 17, 3, 3, 1, 197, 3, 0, 25, 8, 29, 9, 1, 1, 0, 99, 1, 0, 18, 3, 19, 3, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 195, 5, 0, 12, 7, 3, 18, 4, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 99, 0, 0, 0, 0, 0, 0, 0, 196, 97, 3, 0, 99, 1, 0, 7, 0, 12, 1, 4, 1, 197, 2, 0, 0, 0, 3, 1, 1, 1, 0, 99, 0, 0, 13, 1, 14, 2, 1, 1, 0, 14, 0, 28, 6, 29, 7, 1, 196, 3, 0, 5, 4, 1, 9, 2, 1, 1, 1, 1, 1, 48, 0, 19, 0, 306, 4, 0, 0, 0, 0, 0, 0, 0, 5, 4, 1, 8, 1, 0, 51, 0, 0, 288, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 019, P, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 99, 0, 1, 0, 0, 0, 597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 99, 1, 0, 97, 2, 0, 8, 1, 12, 2, 3, 1, 195, 3, 1, 32, 7, 37, 9, 1, 1, 0, 99, 0, 0, 6, 0, 7, 1, 1, 0, 1, 5, 0, 24, 10, 25, 10, 0, 195, 4, 0, 30, 0, 6, 34, 6, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 100, 0, 1, 0, 0, 0, 601, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 98, 2, 0, 100, 0, 0, 21, 5, 24, 6, 3, 1, 196, 3, 1, 20, 7, 25, 9, 1, 1, 0, 100, 0, 0, 15, 5, 16, 6, 1, 0, 0, 20, 0, 5, 1, 5, 1, 0, 196, 3, 1, 7, 6, 4, 12, 6, 1, 1, 1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 021, P, 0, 1, 0, 0, 0, 0, 6, 6, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 97, 0, 0, 0, 0, 1, 582, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 95, 2, 0, 96, 1, 0, 1, 0, 5, 1, 1, 1, 191, 3, 0, 0, 0, 4, 1, 1, 1, 0, 96, 1, 0, 11, 2, 13, 3, 1, 0, 0, 3, 0, 12, 5, 13, 6, 1, 191, 2, 1, 60, 2, 13, 63, 14, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 0, 0, 0, 192, 97, 2, 1, 99, 1, 0, 2, 0, 7, 2, 7, 1, 195, 4, 1, 4, 0, 10, 2, 1, 1, 1, 98, 1, 1, 3, 2, 6, 4, 1, 0, 0, 2, 0, 5, 0, 6, 1, 1, 196, 4, 0, 5, 2, 0, 10, 1, 1, 1, 1, 1, 1, 57, 0, 11, 0, 302, 2, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 5, 1, 1, 43, 0, 0, 297, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 0, 0, 0, 199, 99, 1, 0, 96, 4, 0, 24, 1, 30, 2, 1, 1, 196, 3, 1, 6, 1, 11, 3, 1, 1, 0, 99, 1, 0, 3, 0, 5, 1, 1, 0, 0, 15, 0, 3, 3, 4, 4, 1, 197, 2, 1, 5, 2, 2, 9, 4, 1, 1, 1, 1, 1, 50, 0, 17, 0, 295, 3, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 6, 1, 1, 50, 0, 0, 303, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 0, 0, 0, 195, 99, 1, 0, 97, 2, 1, 10, 0, 15, 2, 4, 1, 196, 3, 1, 9, 7, 14, 9, 1, 1, 1, 99, 0, 1, 9, 4, 11, 6, 1, 0, 0, 8, 0, 11, 2, 12, 3, 1, 200, 0, 0, 15, 1, 8, 16, 9, 1, 1, 1, 1, 1, 56, 0, 14, 0, 278, 1, 2, 0, 0, 0, 0, 0, 0, 3, 3, 0, 7, 3, 1, 44, 0, 0, 320, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 0, 0, 0, 196, 99, 1, 0, 100, 0, 0, 36, 6, 38, 7, 4, 1, 194, 6, 0, 10, 0, 17, 1, 1, 1, 0, 100, 0, 0, 1, 0, 2, 1, 1, 0, 0, 5, 0, 1, 1, 2, 2, 1, 199, 1, 0, 7, 2, 4, 9, 5, 1, 1, 1, 1, 1, 51, 1, 10, 0, 295, 1, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 6, 1, 1, 48, 0, 0, 305, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 0, 0, 0, 195, 97, 3, 0, 99, 1, 0, 1, 1, 6, 2, 5, 1, 197, 3, 0, 14, 4, 18, 5, 1, 1, 0, 100, 0, 0, 19, 1, 20, 2, 1, 0, 0, 1, 0, 8, 4, 9, 5, 1, 196, 4, 0, 20, 1, 7, 25, 8, 1, 1, 1, 1, 1, 45, 1, 7, 0, 278, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5, 2, 10, 3, 1, 54, 0, 0, 320, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 100, 0, 0, 0, 1, 0, 601, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 99, 1, 0, 99, 1, 0, 1, 0, 4, 1, 3, 1, 196, 3, 1, 9, 2, 14, 4, 1, 1, 0, 98, 2, 0, 36, 16, 39, 17, 1, 0, 0, 18, 0, 4, 1, 5, 2, 0, 194, 5, 1, 11, 2, 3, 18, 5, 1, 1, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 100, 0, 1, 0, 0, 0, 601, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 99, 1, 0, 98, 2, 0, 4, 2, 8, 3, 5, 1, 196, 4, 0, 30, 9, 35, 10, 1, 1, 1, 100, 0, 0, 18, 5, 19, 6, 1, 0, 0, 0, 0, 7, 3, 7, 3, 0, 198, 2, 0, 2, 0, 0, 5, 1, 1, 1, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
