Input Number, Run_Number, Result@ 100, CO, X1, A, B, C, PO, D, Y, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 16, 18, 65, 2, 2, 65, 9, 6, 2, 9, 9, 18, 470, 235
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 34, 18, 117, 10, 8, 117, 9, 5, 3, 8, 9, 18, 120, 60
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 24, 18, 133, 7, 5, 133, 9, 6, 2, 8, 9, 18, 86, 43
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 79, 18, 133, 7, 5, 133, 9, 6, 2, 8, 9, 18, 44, 22
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 18, 88, 10, 10, 88, 9, 8, 0, 9, 9, 18, 394, 197
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 17, 18, 83, 7, 7, 83, 9, 6, 2, 9, 9, 18, 342, 171
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 44, 18, 91, 5, 5, 91, 9, 5, 3, 9, 9, 18, 70, 35
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 19, 18, 94, 6, 6, 94, 9, 7, 1, 9, 9, 18, 264, 132
INVAR-1, Run: 079, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 7, 18, 79, 4, 2, 79, 9, 3, 5, 8, 9, 18, 114, 57
INVAR-1, Run: 080, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 22, 18, 98, 17, 15, 98, 9, 5, 3, 8, 9, 18, 122, 61
INVAR-1, Run: 081, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 23, 18, 95, 7, 5, 95, 9, 4, 4, 8, 9, 18, 274, 137
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 23, 18, 159, 13, 13, 159, 9, 3, 5, 9, 9, 18, 172, 86
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 34, 18, 136, 8, 6, 136, 9, 6, 2, 8, 9, 18, 456, 228
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 21, 18, 40, 4, 4, 40, 9, 6, 2, 9, 9, 18, 68, 34
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 33, 18, 83, 9, 7, 83, 9, 5, 3, 8, 9, 18, 146, 73
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 39, 18, 135, 11, 11, 135, 9, 7, 1, 9, 9, 18, 144, 72
INVAR-1, Run: 087, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 59, 18, 153, 11, 11, 153, 9, 5, 3, 9, 9, 18, 712, 356
