Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B
INVAR-1, Run: 029, F, 0, 0, 0, 0, 0, 9, 0, 6, 1, 48, 0
INVAR-1, Run: 030, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0
INVAR-1, Run: 031, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 033, F, 0, 0, 0, 0, 0, 9, 0, 11, 1, 43, 0
INVAR-1, Run: 034, F, 0, 0, 0, 0, 0, 9, 0, 5, 1, 49, 0
INVAR-1, Run: 035, F, 0, 0, 0, 0, 0, 9, 0, 12, 1, 42, 0
INVAR-1, Run: 036, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0
INVAR-1, Run: 037, F, 0, 0, 0, 0, 0, 9, 0, 17, 1, 37, 0
INVAR-1, Run: 038, F, 0, 0, 0, 0, 0, 9, 0, 23, 1, 31, 0
INVAR-1, Run: 039, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0
INVAR-1, Run: 040, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0
INVAR-1, Run: 041, F, 0, 0, 0, 0, 0, 9, 0, 18, 1, 36, 0
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 045, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0
INVAR-1, Run: 046, F, 0, 0, 0, 0, 0, 9, 0, 26, 1, 28, 0
INVAR-1, Run: 047, F, 0, 0, 0, 0, 0, 9, 0, 16, 1, 38, 0
INVAR-1, Run: 048, F, 0, 0, 0, 0, 0, 9, 0, 26, 1, 28, 0
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 050, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 053, F, 0, 0, 0, 0, 0, 9, 0, 1, 1, 53, 0
INVAR-1, Run: 054, F, 0, 0, 0, 0, 0, 9, 0, 5, 1, 49, 0
INVAR-1, Run: 055, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0
INVAR-1, Run: 056, F, 0, 0, 0, 0, 0, 9, 0, 3, 1, 51, 0
INVAR-1, Run: 057, F, 0, 0, 0, 0, 0, 9, 0, 12, 1, 42, 0
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 9, 0, 32, 1, 22, 0
INVAR-1, Run: 059, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0
INVAR-1, Run: 060, F, 0, 0, 0, 0, 0, 9, 0, 20, 1, 34, 0
INVAR-1, Run: 061, F, 0, 0, 0, 0, 0, 9, 0, 41, 1, 13, 0
INVAR-1, Run: 062, F, 0, 0, 0, 0, 0, 9, 0, 11, 1, 43, 0
INVAR-1, Run: 063, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0
INVAR-1, Run: 064, F, 0, 0, 0, 0, 0, 9, 0, 6, 1, 48, 0
INVAR-1, Run: 065, F, 0, 0, 0, 0, 0, 9, 0, 1, 1, 53, 0
