Input Number, Run_Number, Result@ 100, B, D, X1, H, M, PO, CE, Y, CO, PE, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 11, 126, 9, 7, 1, 9, 18, 27, 23, 126
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 4, 33, 9, 5, 3, 9, 18, 27, 16, 33
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 18, 106, 9, 5, 3, 9, 18, 27, 28, 106
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54, 0, 18, 11, 117, 9, 7, 1, 9, 18, 27, 20, 117
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54, 6, 18, 17, 83, 9, 8, 0, 9, 18, 27, 32, 83
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 10, 116, 9, 6, 2, 9, 18, 27, 22, 116
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 12, 146, 9, 7, 1, 9, 18, 27, 23, 146
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 9, 97, 9, 7, 1, 9, 18, 27, 21, 97
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 16, 110, 9, 3, 5, 9, 18, 27, 26, 110
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 18, 109, 9, 4, 4, 9, 18, 27, 28, 109
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 15, 173, 9, 6, 2, 9, 18, 27, 26, 173
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 8, 18, 9, 6, 2, 9, 18, 27, 19, 18
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54, 6, 18, 19, 95, 9, 4, 4, 9, 18, 27, 34, 95
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 15, 120, 9, 6, 2, 9, 18, 27, 27, 120
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 10, 73, 9, 5, 3, 9, 18, 27, 21, 73
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 13, 80, 9, 8, 0, 9, 18, 27, 23, 80
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 10, 161, 9, 8, 0, 9, 18, 27, 20, 161
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 14, 132, 9, 5, 3, 9, 18, 27, 25, 132
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 21, 115, 9, 5, 3, 9, 18, 27, 32, 115
