Input Number, Run_Number, Result@ 100, predator_g532, prey_Q2a, H1, prey_Q1b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_H2, prey_H1, H2
INVAR-1, Run: 076, F, 0, 2, 1, 3, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 2, 0, 0, 0
INVAR-1, Run: 077, F, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 3, 1, 1, 0, 0, 0
INVAR-1, Run: 078, F, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1, 3, 4, 1, 0, 0, 1, 2, 1, 3, 0, 0, 3, 1, 1, 0, 0, 0
INVAR-1, Run: 079, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 3, 4, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0
INVAR-1, Run: 080, F, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 2, 1, 2, 2, 0, 0, 1, 3, 0, 0, 0
INVAR-1, Run: 081, F, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0
INVAR-1, Run: 082, F, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0
INVAR-1, Run: 083, F, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 3, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 084, F, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 4, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2, 0, 0, 0
INVAR-1, Run: 085, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 0, 0, 1, 0, 1, 3, 1, 1, 0, 4, 0
INVAR-1, Run: 086, F, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1
INVAR-1, Run: 087, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 1
INVAR-1, Run: 088, F, 0, 2, 0, 1, 1, 2, 0, 0, 0, 1, 1, 1, 1, 1, 1, 3, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 089, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 090, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 091, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 092, F, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 093, F, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 4, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 2, 1, 1, 0
INVAR-1, Run: 094, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 095, F, 0, 6, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 0, 4, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 2
INVAR-1, Run: 096, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 097, F, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0
INVAR-1, Run: 098, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 099, F, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 100, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0
