Input Number, Run_Number, Result@ 100, H, B, PE, X1, M, PO, CE, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 016, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 13, 79, 9, 9, 3, 7, 18, 29, 20, 79
INVAR-1, Run: 017, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 15, 81, 9, 10, 2, 7, 18, 29, 22, 81
INVAR-1, Run: 018, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 16, 57, 9, 6, 10, 5, 18, 31, 21, 57
INVAR-1, Run: 019, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 24, 152, 9, 6, 4, 8, 18, 28, 32, 152
INVAR-1, Run: 020, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 19, 184, 9, 8, 8, 5, 18, 31, 24, 184
INVAR-1, Run: 021, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 13, 119, 9, 9, 3, 7, 18, 29, 20, 119
INVAR-1, Run: 022, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 14, 132, 9, 8, 4, 7, 18, 29, 21, 132
INVAR-1, Run: 023, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 16, 88, 9, 9, 5, 6, 18, 30, 22, 88
INVAR-1, Run: 024, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 16, 47, 9, 2, 10, 7, 18, 29, 23, 47
INVAR-1, Run: 025, F, 0, 0, 1, 0, 0, 0, 4, 4, 0, 0, 44, 10, 18, 11, 83, 9, 10, 8, 4, 18, 32, 15, 83
INVAR-1, Run: 026, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 21, 109, 9, 8, 6, 6, 18, 30, 27, 109
INVAR-1, Run: 027, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 23, 210, 9, 8, 4, 7, 18, 29, 30, 210
INVAR-1, Run: 028, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 19, 136, 9, 11, 5, 5, 18, 31, 24, 136
INVAR-1, Run: 029, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 12, 103, 9, 6, 6, 7, 18, 29, 19, 103
INVAR-1, Run: 030, F, 0, 0, 1, 0, 0, 0, 4, 4, 0, 0, 44, 10, 18, 17, 204, 9, 10, 8, 4, 18, 32, 21, 204
INVAR-1, Run: 031, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 26, 107, 9, 4, 10, 6, 18, 30, 32, 107
INVAR-1, Run: 032, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 8, 22, 9, 5, 7, 7, 18, 29, 15, 22
INVAR-1, Run: 033, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 24, 139, 9, 7, 7, 6, 18, 30, 30, 139
